subgraph,count
Q41176,283240
Q16887380,21229
Q253019,41323
Q12308941,37652
Q12317349,13635
Q97695005,11638
Q5358913,18411
Q17633526,287021
Q1238720,12367
Q12284,47623
Q1248784,24593
Q1504425,12025
Q7397,11177
Q187685,34908
Q56731284,12432
Q482,16351
Q726,13442
Q277338,57760
Q4504495,12706
Q185113,20628
Q1516079,38049
Q21191270,65631
Q42195,18731
Q4022,398734
Q15632617,53069
Q21573182,18758
Q4421,24699
Q123705,26534
Q176799,22513
Q7187,1196503
Q24354,11850
Q751876,25632
Q11446,78218
Q26895936,23807
Q61443690,129183
Q23058136,28236
Q33506,41648
Q18663566,15247
Q1681353,27712
Q47461344,82317
Q6881511,48828
Q3231690,10988
Q220659,20087
Q9826,31391
Q55488,101154
Q29654788,151163
Q1529096,18894
Q50231,13989
Q67383935,73755
Q25379,1683
Q179700,47380
Q99045339,34278
Q46135307,11940
Q1539532,20197
Q23442,149328
Q11173,1244871
Q59542487,34252
Q27555384,47984
Q10870555,21830
Q14659,10507
Q4989906,29051
Q11755880,11973
Q29023906,20271
Q41253,55879
Q47345468,14244
Q5084,117747
Q16521,3340179
Q532,276595
Q56428020,12967
Q13442814,37449805
Q67035425,17305
Q3331189,181298
Q2732840,14811
Q16510064,28216
Q7889,45131
Q34442,68899
Q155076,23518
Q19692072,19440
Q20541692,14570
Q15773317,10617
Q18340514,45355
Q484170,45582
Q2116450,19221
Q5185279,104566
Q21198342,13799
Q66826848,23629
Q13406463,335721
Q1302249,17104
Q26267864,11167
Q108325,55728
Q14860489,10897
Q737498,22324
Q842402,14918
Q40080,16099
Q4164871,120942
Q7725634,192147
Q187223,12222
Q27671617,11153
Q860861,49629
Q1260524,87882
Q59199015,123799
Q24862,31278
Q47521,125062
Q65661087,16612
Q820655,27021
Q3957,14320
Q81505329,12461
Q47150325,189366
Q46190676,26713
Q13100073,588460
Q728937,14225
Q15416,47835
Q61443650,24761
Q7075,23196
Q5398426,59198
Q459297,13597
Q39594,33720
Q121117,18237
Q476028,36265
Q207326,23537
Q61089180,11512
Q2042028,19514
Q210272,21519
Q19860854,21657
Q482994,272672
Q16917,27692
Q124714,69788
Q126807,34286
Q23038290,104774
Q202444,20593
Q159334,18362
Q506240,17976
Q133056,21444
Q3052382,21361
Q34038,10900
Q9842,155475
Q174782,15026
Q3914,37020
Q13406554,13575
Q24529780,36816
Q1303167,20106
Q2514025,18775
Q618779,19502
Q814254,10768
Q732577,71802
Q49008,127532
Q1266946,16728
Q2668072,502307
Q11060274,134682
Q19389637,161988
Q18761202,15433
Q14204246,31299
Q7321974,16762
Q5633421,96946
Q179049,13331
Q2085381,13857
Q953806,12002
Q928830,15080
Q571,26603
Q160091,11991
Q27686,12785
Q5783996,37591
Q1115575,12185
Q24046192,22101
Q2151232,60795
Q11879590,23559
Q21014462,130950
Q2593777,19205
Q39614,82538
Q5707594,24700
Q22698,87457
Q852190,24506
Q12323,74424
Q34770,10221
Q15243209,10890
Q5,9563870
Q11266439,850648
Q838948,23501
Q65954115,26369
Q15647814,14117
Q735428,21609
Q215380,82502
Q55659167,66350
Q149566,12815
Q26703203,16384
Q7777570,10356
Q107102664,16104
Q3508250,14334
Q815382,109713
Q985488,90819
Q101352,482552
Q26211545,41158
Q26894053,12284
Q30612,356853
Q35127,13104
Q23925393,32024
Q18593264,147221
Q61278455,11383
Q3464665,19120
Q46831,22475
Q166735,14693
Q2334719,27209
Q6451276,13981
Q3950,16325
Q1580166,120319
Q54050,327418
Q10429085,10353
Q212198,15019
Q7604686,88776
Q22969563,50178
Q15184295,49413
Q8436,11969
Q107103143,12730
Q4414033,10099
Q14350,26879
Q102496,15603
Q7604693,17145
Q59541917,13494
Q11753321,45727
Q327333,13882
Q2309609,21019
Q6999,8406123
Q17343829,39170
Q355304,175344
Q839954,52434
Q18918145,30833
Q2225692,82947
Q1348305,80676
Q131681,20207
Q106006703,15576
Q15303838,18159
Q57733494,61053
Q163740,26884
Q452237,76764
Q3558970,56086
Q6453643,12397
Q40231,19048
Q16970,216744
Q17018380,16317
Q16466010,997
Q46686,10154
Q62447,18413
Q11032,40857
Q21672098,26524
Q417841,24206
Q22808320,70707
Q28564,40709
Q23894233,34737
Q6503489,13233
Q3257686,39408
Q34023,44747
Q310890,10068
Q26887310,35020
Q50386450,14476
Q427087,85180
Q16560,13339
Q15221623,15890
Q41298,28995
Q1081138,10686
Q891723,12434
Q27020041,159900
Q4167836,4876931
Q3947,203603
Q4830453,198711
Q39816,97147
Q489357,40174
Q585956,43030
Q13417114,10085
Q55659107,18078
Q740445,17582
Q125191,59638
Q21199,10387
Q134556,97781
Q4167410,1378841
Q18127,10367
Q30198,23664
Q55850593,12136
Q67015883,10904
Q79007,593086
Q965568,10996
Q294414,13932
Q8054,987636
Q187971,51982
Q106474968,14280
Q31855,10989
Q8502,526221
Q847017,22361
Q773668,12089
Q2341654,60655
Q898273,11709
Q235557,12513
Q7278,18738
Q44613,13278
Q35509,14801
Q169930,12672
Q100532807,33429
Q3305213,546312
Q105543609,95655
Q358,14820
Q104093746,31276
Q2467461,15712
Q634099,19128
Q23397,261879
Q820477,45174
Q19855165,68032
Q34763,26747
Q12280,24717
Q1134686,19048
Q3918,13733
Q51591359,10510
Q2231510,10987
Q56436498,145782
Q1577547,18970
Q420927,13275
Q11424,268693
Q811979,113004
Q1497375,10327
Q17524420,12351
Q2065736,72867
Q473972,84060
Q93184,95376
Q13433827,525773
Q23413,21796
Q43229,77906
Q2996394,41847
Q1505023,12570
Q189004,25793
Q96739634,61198
Q191067,75378
Q207524,17151
Q1195098,26310
Q192287,16356
Q783794,11755
Q1002697,54581
Q178561,14408
Q575759,16311
Q67015940,26161
Q486972,572267
