code,group,group_serial,predicate,predicate_code,predicate_label,count,group_predicate_serial
Q13442814,scholarly articles,1,<http://schema.org/description>,description,description,1324177494,1
Q6999,astronomical objects,2,<http://schema.org/description>,description,description,53884562,4
Q5,human,3,<http://schema.org/description>,description,description,51883813,5
Q4167836,Wikimedia category,4,<http://schema.org/description>,description,description,596672076,1
Q16521,taxon,5,<http://schema.org/description>,description,description,45308808,2
Q4167410,Wikimedia disambiguation page,6,<http://schema.org/description>,description,description,112264922,1
Q11173,chemical compound,7,<http://schema.org/description>,description,description,24753956,1
Q7187,gene,8,<http://schema.org/description>,description,description,3289806,9
Q8054,protein,9,<http://schema.org/description>,description,description,3479044,5
Q11266439,Wikimedia template,10,<http://schema.org/description>,description,description,93286385,1
Q13100073,village-level division in China,11,<http://schema.org/description>,description,description,24717636,1
Q79007,street,12,<http://schema.org/description>,description,description,2256816,3
Q486972,human settlement,13,<http://schema.org/description>,description,description,3222856,3
Q3305213,painting,14,<http://schema.org/description>,description,description,10311414,1
Q8502,mountain,15,<http://schema.org/description>,description,description,4367836,1
Q13433827,encyclopedia article,16,<http://schema.org/description>,description,description,11968615,1
Q2668072,collection,17,<http://schema.org/description>,description,description,997928,4
Q101352,family name,18,<http://schema.org/description>,description,description,59885567,1
Q4022,river,19,<http://schema.org/description>,description,description,3651037,1
Q30612,clinical trial,20,<http://schema.org/description>,description,description,1107005,3
Q13406463,Wikimedia list article,21,<http://schema.org/description>,description,description,23714609,1
Q54050,hill,22,<http://schema.org/description>,description,description,1252908,3
Q17633526,Wikinews article,23,<http://schema.org/description>,description,description,14128436,1
Q532,village,24,<http://schema.org/description>,description,description,3212844,2
Q482994,album,25,<http://schema.org/description>,description,description,1490087,4
Q41176,building,26,<http://schema.org/description>,description,description,485332,5
Q11424,film,27,<http://schema.org/description>,description,description,3240470,4
Q23397,lake,28,<http://schema.org/description>,description,description,2406074,1
Q16970,church building,29,<http://schema.org/description>,description,description,943023,4
Q3947,house,30,<http://schema.org/description>,description,description,548514,4
Q4830453,business,31,<http://schema.org/description>,description,description,370188,5
Q47150325,calendar day of a given year,32,<http://schema.org/description>,description,description,620020,4
Q355304,watercourse,33,<http://schema.org/description>,description,description,1009377,3
Q7725634,literary work,34,<http://schema.org/description>,description,description,436842,3
Q27020041,sports season,35,<http://schema.org/description>,description,description,245220,9
Q3331189,"version, edition, or translation",36,<http://schema.org/description>,description,description,435289,4
Q9842,primary school,37,<http://schema.org/description>,description,description,307787,8
Q19389637,biographical article,38,<http://schema.org/description>,description,description,532327,3
Q23442,island,39,<http://schema.org/description>,description,description,897631,3
Q18593264,item of collection or exhibition,40,<http://schema.org/description>,description,description,151481,11
Q811979,architectural structure,41,<http://schema.org/description>,description,description,319444,4
Q56436498,village in India,42,<http://schema.org/description>,description,description,2336722,1
Q61443690,branch post office,43,<http://schema.org/description>,description,description,14004,28
Q21014462,cell line,44,<http://schema.org/description>,description,description,1042089,2
Q49008,prime number,45,<http://schema.org/description>,description,description,795712,1
Q47521,stream,46,<http://schema.org/description>,description,description,379228,4
Q4164871,position,47,<http://schema.org/description>,description,description,262391,4
Q11060274,print,48,<http://schema.org/description>,description,description,182928,7
Q5084,hamlet,49,<http://schema.org/description>,description,description,550553,4
Q59199015,group of stereoisomers,50,<http://schema.org/description>,description,description,416717,3
Q13442814,scholarly articles,1,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,796548842,2
Q6999,astronomical objects,2,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,144578826,1
Q5,human,3,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,115226473,2
Q4167836,Wikimedia category,4,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,8987350,8
Q16521,taxon,5,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,32271527,4
Q4167410,Wikimedia disambiguation page,6,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,1587034,8
Q11173,chemical compound,7,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,10484519,3
Q7187,gene,8,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,15992810,3
Q8054,protein,9,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,11357567,3
Q11266439,Wikimedia template,10,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,896517,8
Q13100073,village-level division in China,11,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,3532068,4
Q79007,street,12,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,4096946,2
Q486972,human settlement,13,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,3840166,2
Q3305213,painting,14,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,6791199,3
Q8502,mountain,15,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,3238261,3
Q13433827,encyclopedia article,16,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,2913370,3
Q2668072,collection,17,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,5204557,2
Q101352,family name,18,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,2922453,5
Q4022,river,19,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,2829316,3
Q30612,clinical trial,20,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,4453642,2
Q13406463,Wikimedia list article,21,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,825620,3
Q54050,hill,22,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,1857312,2
Q17633526,Wikinews article,23,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,804307,3
Q532,village,24,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,2304145,3
Q482994,album,25,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,2250457,2
Q41176,building,26,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,2262925,2
Q11424,film,27,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,6480184,2
Q23397,lake,28,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,1813415,3
Q16970,church building,29,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,2256786,2
Q3947,house,30,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,1825282,2
Q4830453,business,31,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,1669295,2
Q47150325,calendar day of a given year,32,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,964484,3
Q355304,watercourse,33,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,1039967,2
Q7725634,literary work,34,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,1252618,2
Q27020041,sports season,35,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,1156720,2
Q3331189,"version, edition, or translation",36,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,1538937,2
Q9842,primary school,37,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,1236386,2
Q19389637,biographical article,38,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,1061395,2
Q23442,island,39,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,958245,2
Q18593264,item of collection or exhibition,40,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,1820436,2
Q811979,architectural structure,41,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,1290969,1
Q56436498,village in India,42,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,1467450,2
Q61443690,branch post office,43,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,775436,1
Q21014462,cell line,44,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,833492,4
Q49008,prime number,45,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,644583,2
Q47521,stream,46,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,734964,2
Q4164871,position,47,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,580022,2
Q11060274,print,48,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,1425199,2
Q5084,hamlet,49,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,924362,2
Q59199015,group of stereoisomers,50,<http://wikiba.se/ontology#rank>,ontology#rank,ontology#rank,871313,2
Q13442814,scholarly articles,1,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,22-rdf-syntax-ns#type,22-rdf-syntax-ns#type,796517035,3
Q6999,astronomical objects,2,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,22-rdf-syntax-ns#type,22-rdf-syntax-ns#type,117137727,3
Q5,human,3,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,22-rdf-syntax-ns#type,22-rdf-syntax-ns#type,127210285,1
