subgraph1,subgraph2,subgraph1_item_count,subgraph2_item_count,value,subgraph1_item_count%,subgraph2_item_count%
hill,mountain,327277,525553,37102,11.34,7.06
river,watercourse,399552,174620,14972,3.75,8.57
hamlet,village,118188,274840,5282,4.47,1.92
hamlet,human settlement,118188,563958,3120,2.64,0.55
human settlement,village,563958,274840,2986,0.53,1.09
church building,architectural structure,211291,145957,2622,1.24,1.8
river,stream,399552,124853,2204,0.55,1.77
"version, edition, or translation",literary work,157486,164860,1304,0.83,0.79
building,architectural structure,265925,145957,946,0.36,0.65
building,house,265925,197736,942,0.35,0.48
Wikimedia disambiguation page,family name,1359804,481445,810,0.06,0.17
architectural structure,house,145957,197736,658,0.45,0.33
"version, edition, or translation",scholarly article,157486,37362641,640,0.41,0.0
stream,watercourse,124853,174620,566,0.45,0.32
clinical trial,scholarly article,356838,37362641,562,0.16,0.0
island,human settlement,148587,563958,432,0.29,0.08
building,church building,265925,211291,380,0.14,0.18
Wikimedia list article,position,334939,120117,330,0.1,0.27
painting,item of collection or exhibition,539468,147402,324,0.06,0.22
Wikimedia disambiguation page,Wikimedia list article,1359804,334939,294,0.02,0.09
Wikimedia list article,sports season,334939,158877,236,0.07,0.15
primary school,building,157451,265925,190,0.12,0.07
"version, edition, or translation",Wikinews article,157486,286950,166,0.11,0.06
film,album,263070,269095,162,0.06,0.06
Wikimedia list article,film,334939,263070,146,0.04,0.06
island,village,148587,274840,144,0.1,0.05
human settlement,village in India,563958,145824,142,0.03,0.1
"version, edition, or translation",album,157486,269095,122,0.08,0.05
"version, edition, or translation",Wikimedia list article,157486,334939,118,0.07,0.04
business,building,193858,265925,116,0.06,0.04
literary work,scholarly article,164860,37362641,112,0.07,0.0
island,mountain,148587,525553,104,0.07,0.02
business,Wikimedia list article,193858,334939,100,0.05,0.03
painting,print,539468,119806,82,0.02,0.07
human settlement,mountain,563958,525553,82,0.01,0.02
film,literary work,263070,164860,74,0.03,0.04
Wikimedia category,Wikimedia list article,4840195,334939,66,0.0,0.02
human settlement,village-level division in China,563958,588477,60,0.01,0.01
encyclopedia article,scholarly article,512141,37362641,60,0.01,0.0
human settlement,hill,563958,327277,54,0.01,0.02
church building,human settlement,211291,563958,54,0.03,0.01
literary work,collection,164860,500968,52,0.03,0.01
gene,Wikimedia template,1196361,845852,52,0.0,0.01
