subgraph1,subgraph2,value
human,business,1286
human,literary work,862
building,church building,832
building,architectural structure,821
business,building,791
human,building,740
human,film,732
human,"version, edition, or translation",722
building,human settlement,697
"version, edition, or translation",literary work,693
human,human settlement,693
human,Wikimedia list article,690
human settlement,village,680
church building,architectural structure,676
business,human settlement,671
business,architectural structure,662
building,house,662
island,human settlement,642
business,church building,637
human,church building,635
business,literary work,635
church building,house,632
church building,human settlement,624
architectural structure,human settlement,612
film,literary work,607
human,architectural structure,601
human,painting,579
human,position,574
human,Wikimedia disambiguation page,569
architectural structure,house,567
human settlement,mountain,562
business,Wikimedia list article,558
"version, edition, or translation",business,544
building,village,541
business,film,538
island,village,534
human,taxon,529
business,collection,529
human,scholarly article,525
building,island,524
church building,village,522
human,village,519
human,album,515
island,mountain,510
human,collection,507
business,village,501
"version, edition, or translation",film,500
village,mountain,495
human,Wikimedia category,493
business,house,489
human settlement,house,489
human,island,485
business,island,485
film,album,484
church building,island,484
building,collection,482
building,mountain,482
business,position,482
architectural structure,village,480
building,street,479
Wikimedia disambiguation page,business,474
human settlement,lake,472
Wikimedia list article,literary work,470
church building,mountain,466
Wikimedia list article,human settlement,464
river,human settlement,459
church building,street,458
architectural structure,island,455
architectural structure,street,452
architectural structure,collection,450
human settlement,street,450
Wikimedia disambiguation page,Wikimedia list article,446
human,house,446
Wikimedia category,Wikimedia list article,445
island,lake,444
lake,mountain,443
literary work,album,443
business,painting,442
"version, edition, or translation",album,441
architectural structure,mountain,440
building,Wikimedia list article,437
"version, edition, or translation",scholarly article,435
human,mountain,435
building,literary work,434
literary work,scholarly article,432
river,island,430
church building,collection,428
Wikimedia list article,film,426
business,street,426
village,lake,425
human settlement,literary work,424
business,taxon,421
river,mountain,418
painting,literary work,416
business,mountain,416
building,lake,414
river,lake,412
Wikimedia category,business,411
human,astronomical object,410
river,building,407
village,street,406
house,village,405
river,village,399
church building,literary work,399
business,scholarly article,397
human settlement,collection,396
human,river,396
human settlement,hill,395
"version, edition, or translation",Wikimedia list article,395
hill,mountain,395
church building,Wikimedia list article,394
architectural structure,Wikimedia list article,394
human settlement,position,394
Wikimedia disambiguation page,human settlement,393
building,painting,393
church building,lake,391
island,house,390
business,album,389
human,street,389
hamlet,human settlement,387
hamlet,village,386
Wikimedia list article,village,386
Wikimedia disambiguation page,literary work,385
architectural structure,lake,384
island,street,384
Wikimedia disambiguation page,taxon,384
house,street,381
church building,painting,381
Wikimedia list article,position,380
human,lake,380
river,business,379
building,position,379
house,mountain,378
river,architectural structure,378
business,lake,377
island,hill,375
human settlement,taxon,375
architectural structure,literary work,374
business,astronomical object,373
position,literary work,371
river,church building,371
Wikimedia list article,taxon,369
literary work,collection,368
building,film,367
building,hill,367
literary work,taxon,367
house,collection,363
"version, edition, or translation",painting,362
primary school,building,360
street,mountain,360
village,hill,359
"version, edition, or translation",building,358
Wikimedia list article,island,357
film,human settlement,356
"version, edition, or translation",collection,355
church building,hill,354
literary work,village,353
human settlement,painting,351
Wikimedia disambiguation page,building,351
Wikimedia category,human settlement,348
film,painting,348
