code,group,predicate,count
Q13442814,scholarly articles,<http://schema.org/description>,1324177494
Q13442814,scholarly articles,<http://wikiba.se/ontology#rank>,796548842
Q13442814,scholarly articles,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,796517035
Q13442814,scholarly articles,<http://www.w3.org/ns/prov#wasDerivedFrom>,714004622
Q13442814,scholarly articles,<http://www.wikidata.org/prop/P2860>,284538763
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/P2860>,284538759
Q13442814,scholarly articles,<http://www.wikidata.org/prop/direct/P2860>,284534471
Q13442814,scholarly articles,<http://www.wikidata.org/prop/qualifier/P1545>,154240107
Q13442814,scholarly articles,<http://www.wikidata.org/prop/P2093>,134335068
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/P2093>,134335011
Q13442814,scholarly articles,<http://www.wikidata.org/prop/direct/P2093>,134246921
Q13442814,scholarly articles,<http://www.w3.org/2000/01/rdf-schema#label>,74996026
Q13442814,scholarly articles,<http://www.wikidata.org/prop/P31>,40375350
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/P31>,40375350
Q13442814,scholarly articles,<http://www.wikidata.org/prop/direct/P31>,40375322
Q13442814,scholarly articles,<http://www.wikidata.org/prop/P1476>,37575405
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/P1476>,37575403
Q13442814,scholarly articles,<http://www.wikidata.org/prop/direct/P1476>,37574347
Q13442814,scholarly articles,<http://www.wikidata.org/prop/P577>,37370892
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/P577>,37370892
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/value/P577>,37370891
Q13442814,scholarly articles,<http://wikiba.se/ontology#sitelinks>,37362641
Q13442814,scholarly articles,<http://schema.org/dateModified>,37362641
Q13442814,scholarly articles,<http://wikiba.se/ontology#identifiers>,37362641
Q13442814,scholarly articles,<http://wikiba.se/ontology#statements>,37362641
Q13442814,scholarly articles,<http://schema.org/version>,37362640
Q13442814,scholarly articles,<http://www.wikidata.org/prop/direct/P577>,37355846
Q13442814,scholarly articles,<http://www.wikidata.org/prop/P1433>,36434390
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/P1433>,36434388
Q13442814,scholarly articles,<http://www.wikidata.org/prop/direct/P1433>,36434318
Q13442814,scholarly articles,<http://www.wikidata.org/prop/P304>,34779684
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/P304>,34779683
Q13442814,scholarly articles,<http://www.wikidata.org/prop/direct/P304>,34779651
Q13442814,scholarly articles,<http://www.wikidata.org/prop/P478>,34585769
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/P478>,34585764
Q13442814,scholarly articles,<http://www.wikidata.org/prop/direct/P478>,34585761
Q13442814,scholarly articles,<http://www.wikidata.org/prop/P698>,31977517
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/P698>,31977517
Q13442814,scholarly articles,<http://www.wikidata.org/prop/direct/P698>,31941897
Q13442814,scholarly articles,<http://www.wikidata.org/prop/P433>,31726855
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/P433>,31726853
Q13442814,scholarly articles,<http://www.wikidata.org/prop/direct/P433>,31726850
Q13442814,scholarly articles,<http://www.wikidata.org/prop/P356>,26924172
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/P356>,26924151
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/value-normalized/P356>,26924150
Q13442814,scholarly articles,<http://www.wikidata.org/prop/direct-normalized/P356>,26923216
Q13442814,scholarly articles,<http://www.wikidata.org/prop/direct/P356>,26923216
Q13442814,scholarly articles,<http://www.wikidata.org/prop/P50>,20021414
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/P50>,20021402
Q13442814,scholarly articles,<http://www.wikidata.org/prop/direct/P50>,19936647
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/P921>,14426390
Q13442814,scholarly articles,<http://www.wikidata.org/prop/P921>,14426390
Q13442814,scholarly articles,<http://www.wikidata.org/prop/direct/P921>,14426132
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/P407>,11602119
Q13442814,scholarly articles,<http://www.wikidata.org/prop/P407>,11602119
Q13442814,scholarly articles,<http://www.wikidata.org/prop/direct/P407>,11602109
Q13442814,scholarly articles,<http://www.wikidata.org/prop/qualifier/P1932>,8787358
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/P932>,6354535
Q13442814,scholarly articles,<http://www.wikidata.org/prop/P932>,6354535
Q13442814,scholarly articles,<http://www.wikidata.org/prop/direct/P932>,6354533
Q13442814,scholarly articles,<http://www.wikidata.org/prop/P5875>,4578637
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/P5875>,4578637
Q13442814,scholarly articles,<http://www.wikidata.org/prop/direct/P5875>,4578629
Q13442814,scholarly articles,<http://www.wikidata.org/prop/P2888>,2727124
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/P2888>,2727124
Q13442814,scholarly articles,<http://www.wikidata.org/prop/direct/P2888>,2727106
Q13442814,scholarly articles,<http://www.wikidata.org/prop/P6179>,1539253
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/P6179>,1539253
Q13442814,scholarly articles,<http://www.wikidata.org/prop/direct/P6179>,1539242
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/P6769>,971737
Q13442814,scholarly articles,<http://www.wikidata.org/prop/P6769>,971737
Q13442814,scholarly articles,<http://www.wikidata.org/prop/direct/P6769>,971736
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/P953>,559098
Q13442814,scholarly articles,<http://www.wikidata.org/prop/P953>,559098
Q13442814,scholarly articles,<http://www.wikidata.org/prop/direct/P953>,558952
Q13442814,scholarly articles,<http://www.wikidata.org/prop/P8978>,416139
Q13442814,scholarly articles,<http://www.wikidata.org/prop/direct-normalized/P8978>,416139
Q13442814,scholarly articles,<http://www.wikidata.org/prop/direct/P8978>,416139
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/value-normalized/P8978>,416139
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/P8978>,416139
Q13442814,scholarly articles,<http://www.wikidata.org/prop/P819>,397327
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/P819>,397327
Q13442814,scholarly articles,<http://www.wikidata.org/prop/direct/P819>,397321
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/P818>,346990
Q13442814,scholarly articles,<http://www.wikidata.org/prop/P818>,346990
Q13442814,scholarly articles,<http://www.wikidata.org/prop/direct/P818>,346988
Q13442814,scholarly articles,<http://www.wikidata.org/prop/direct-normalized/P3181>,232301
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/P3181>,232301
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/value-normalized/P3181>,232301
Q13442814,scholarly articles,<http://www.wikidata.org/prop/direct/P3181>,232301
Q13442814,scholarly articles,<http://www.wikidata.org/prop/P3181>,232301
Q13442814,scholarly articles,<http://www.wikidata.org/prop/direct/P888>,222834
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/P888>,222834
Q13442814,scholarly articles,<http://www.wikidata.org/prop/P888>,222834
Q13442814,scholarly articles,<http://www.wikidata.org/prop/P724>,180156
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/P724>,180156
Q13442814,scholarly articles,<http://www.wikidata.org/prop/direct/P724>,180156
Q13442814,scholarly articles,<http://www.wikidata.org/prop/statement/P6216>,170743
