from_subgraph,to_subgraph,count,from_subgraph_label
<http://www.wikidata.org/entity/Q13442814>,<http://www.wikidata.org/entity/Q13442814>,20375350,scholarly article
<http://www.wikidata.org/entity/Q5>,<http://www.wikidata.org/entity/Q5>,5489767,human
<http://www.wikidata.org/entity/Q4167836>,<http://www.wikidata.org/entity/Q4167836>,4843773,Wikimedia category
<http://www.wikidata.org/entity/Q16521>,<http://www.wikidata.org/entity/Q16521>,2432622,taxon
<http://www.wikidata.org/entity/Q13442814>,<http://www.wikidata.org/entity/Q5>,1814276,scholarly article
<http://www.wikidata.org/entity/Q4167410>,<http://www.wikidata.org/entity/Q4167410>,1361732,Wikimedia disambiguation page
<http://www.wikidata.org/entity/Q8054>,<http://www.wikidata.org/entity/Q7187>,938861,protein
<http://www.wikidata.org/entity/Q7187>,<http://www.wikidata.org/entity/Q8054>,937533,gene
<http://www.wikidata.org/entity/Q11266439>,<http://www.wikidata.org/entity/Q11266439>,844201,Wikimedia template
<http://www.wikidata.org/entity/Q6999>,<http://www.wikidata.org/entity/Q6999>,567275,astronomical object
<http://www.wikidata.org/entity/Q486972>,<http://www.wikidata.org/entity/Q486972>,516359,human settlement
<http://www.wikidata.org/entity/Q8502>,<http://www.wikidata.org/entity/Q8502>,511445,mountain
<http://www.wikidata.org/entity/Q4022>,<http://www.wikidata.org/entity/Q4022>,393773,river
<http://www.wikidata.org/entity/Q13433827>,<http://www.wikidata.org/entity/Q13433827>,386793,encyclopedia article
<http://www.wikidata.org/entity/Q13406463>,<http://www.wikidata.org/entity/Q13406463>,334845,Wikimedia list article
<http://www.wikidata.org/entity/Q5>,<http://www.wikidata.org/entity/Q101352>,321652,human
<http://www.wikidata.org/entity/Q54050>,<http://www.wikidata.org/entity/Q54050>,312559,hill
<http://www.wikidata.org/entity/Q17633526>,<http://www.wikidata.org/entity/Q17633526>,286962,Wikinews article
<http://www.wikidata.org/entity/Q482994>,<http://www.wikidata.org/entity/Q482994>,265710,album
<http://www.wikidata.org/entity/Q532>,<http://www.wikidata.org/entity/Q532>,261301,village
<http://www.wikidata.org/entity/Q7187>,<http://www.wikidata.org/entity/Q7187>,242678,gene
<http://www.wikidata.org/entity/Q11424>,<http://www.wikidata.org/entity/Q11424>,239125,film
<http://www.wikidata.org/entity/Q23397>,<http://www.wikidata.org/entity/Q23397>,233989,lake
<http://www.wikidata.org/entity/Q11424>,<http://www.wikidata.org/entity/Q5>,230311,film
<http://www.wikidata.org/entity/Q47150325>,<http://www.wikidata.org/entity/Q47150325>,189363,calendar day of a given year
<http://www.wikidata.org/entity/Q355304>,<http://www.wikidata.org/entity/Q355304>,174340,watercourse
<http://www.wikidata.org/entity/Q13442814>,<http://www.wikidata.org/entity/Q11173>,173950,scholarly article
<http://www.wikidata.org/entity/Q16970>,<http://www.wikidata.org/entity/Q16970>,160898,church building
<http://www.wikidata.org/entity/Q27020041>,<http://www.wikidata.org/entity/Q27020041>,158574,sports season
<http://www.wikidata.org/entity/Q4167836>,<http://www.wikidata.org/entity/Q16521>,156532,Wikimedia category
<http://www.wikidata.org/entity/Q16521>,<http://www.wikidata.org/entity/Q4167836>,156511,taxon
<http://www.wikidata.org/entity/Q19389637>,<http://www.wikidata.org/entity/Q19389637>,151947,biographical article
<http://www.wikidata.org/entity/Q23442>,<http://www.wikidata.org/entity/Q23442>,147739,island
<http://www.wikidata.org/entity/Q101352>,<http://www.wikidata.org/entity/Q101352>,142657,family name
<http://www.wikidata.org/entity/Q7725634>,<http://www.wikidata.org/entity/Q7725634>,135554,literary work
<http://www.wikidata.org/entity/Q4830453>,<http://www.wikidata.org/entity/Q4830453>,132642,business
<http://www.wikidata.org/entity/Q4167410>,<http://www.wikidata.org/entity/Q101352>,131956,Wikimedia disambiguation page
<http://www.wikidata.org/entity/Q49008>,<http://www.wikidata.org/entity/Q49008>,127503,prime number
<http://www.wikidata.org/entity/Q101352>,<http://www.wikidata.org/entity/Q4167410>,127396,family name
<http://www.wikidata.org/entity/Q47521>,<http://www.wikidata.org/entity/Q47521>,124023,stream
<http://www.wikidata.org/entity/Q79007>,<http://www.wikidata.org/entity/Q79007>,116657,street
<http://www.wikidata.org/entity/Q5084>,<http://www.wikidata.org/entity/Q5084>,112592,hamlet
<http://www.wikidata.org/entity/Q13442814>,<http://www.wikidata.org/entity/Q815382>,101063,scholarly article
<http://www.wikidata.org/entity/Q13442814>,<http://www.wikidata.org/entity/Q59199015>,99653,scholarly article
<http://www.wikidata.org/entity/Q56436498>,<http://www.wikidata.org/entity/Q56436498>,97852,village in India
<http://www.wikidata.org/entity/Q5>,<http://www.wikidata.org/entity/Q4164871>,96069,human
<http://www.wikidata.org/entity/Q5>,<http://www.wikidata.org/entity/Q19389637>,93357,human
<http://www.wikidata.org/entity/Q13442814>,<http://www.wikidata.org/entity/Q8054>,91296,scholarly article
<http://www.wikidata.org/entity/Q19389637>,<http://www.wikidata.org/entity/Q5>,90592,biographical article
<http://www.wikidata.org/entity/Q5>,<http://www.wikidata.org/entity/Q13433827>,82651,human
<http://www.wikidata.org/entity/Q13442814>,<http://www.wikidata.org/entity/Q16521>,81538,scholarly article
<http://www.wikidata.org/entity/Q41176>,<http://www.wikidata.org/entity/Q41176>,73749,building
<http://www.wikidata.org/entity/Q3305213>,<http://www.wikidata.org/entity/Q5>,67058,painting
<http://www.wikidata.org/entity/Q13433827>,<http://www.wikidata.org/entity/Q5>,65509,encyclopedia article
<http://www.wikidata.org/entity/Q3947>,<http://www.wikidata.org/entity/Q3947>,57317,house
<http://www.wikidata.org/entity/Q3331189>,<http://www.wikidata.org/entity/Q3331189>,55769,"version, edition, or translation"
<http://www.wikidata.org/entity/Q4167836>,<http://www.wikidata.org/entity/Q5>,55232,Wikimedia category
<http://www.wikidata.org/entity/Q7725634>,<http://www.wikidata.org/entity/Q5>,47903,literary work
<http://www.wikidata.org/entity/Q5>,<http://www.wikidata.org/entity/Q57733494>,46739,human
<http://www.wikidata.org/entity/Q16521>,<http://www.wikidata.org/entity/Q5>,45435,taxon
<http://www.wikidata.org/entity/Q13442814>,<http://www.wikidata.org/entity/Q21014462>,44442,scholarly article
<http://www.wikidata.org/entity/Q5>,<http://www.wikidata.org/entity/Q4167836>,44405,human
<http://www.wikidata.org/entity/Q3331189>,<http://www.wikidata.org/entity/Q47461344>,40576,"version, edition, or translation"
<http://www.wikidata.org/entity/Q4164871>,<http://www.wikidata.org/entity/Q484170>,40067,position
<http://www.wikidata.org/entity/Q13406463>,<http://www.wikidata.org/entity/Q4167836>,38841,Wikimedia list article
<http://www.wikidata.org/entity/Q4167836>,<http://www.wikidata.org/entity/Q13406463>,38569,Wikimedia category
<http://www.wikidata.org/entity/Q3331189>,<http://www.wikidata.org/entity/Q5>,38353,"version, edition, or translation"
<http://www.wikidata.org/entity/Q13442814>,<http://www.wikidata.org/entity/Q5633421>,36701,scholarly article
<http://www.wikidata.org/entity/Q16970>,<http://www.wikidata.org/entity/Q484170>,36202,church building
<http://www.wikidata.org/entity/Q11173>,<http://www.wikidata.org/entity/Q16521>,35170,chemical compound
<http://www.wikidata.org/entity/Q13442814>,<http://www.wikidata.org/entity/Q1348305>,34879,scholarly article
<http://www.wikidata.org/entity/Q811979>,<http://www.wikidata.org/entity/Q811979>,34119,architectural structure
<http://www.wikidata.org/entity/Q5>,<http://www.wikidata.org/entity/Q484170>,34113,human
<http://www.wikidata.org/entity/Q482994>,<http://www.wikidata.org/entity/Q5>,30301,album
<http://www.wikidata.org/entity/Q3305213>,<http://www.wikidata.org/entity/Q3305213>,29891,painting
<http://www.wikidata.org/entity/Q11173>,<http://www.wikidata.org/entity/Q11173>,28580,chemical compound
<http://www.wikidata.org/entity/Q532>,<http://www.wikidata.org/entity/Q2225692>,27962,village
<http://www.wikidata.org/entity/Q5>,<http://www.wikidata.org/entity/Q12308941>,27659,human
<http://www.wikidata.org/entity/Q5>,<http://www.wikidata.org/entity/Q532>,26530,human
