code,item_count,triple_count,date
Q13406463,335135,33806231,20210927
Q4830453,194063,14128542,20210927
Q13433827,512232,33380376,20210927
Q13442814,37370825,6543481682,20210927
Q482994,269330,21215393,20210927
Q7187,1196419,122430998,20210927
Q3331189,158079,11066657,20210927
Q61443690,129183,5313079,20210927
Q101352,478550,190967003,20210927
Q79007,579262,30280082,20210927
Q8502,525621,33338600,20210927
Q59199015,111605,5895144,20210927
Q16521,3216614,373072336,20210927
Q7725634,165134,10075522,20210927
Q23442,148575,9886703,20210927
Q30612,356843,27732071,20210927
Q27020041,158914,10701802,20210927
Q5,9349643,958905802,20210927
Q16970,212519,16937227,20210927
Q11424,263361,47254020,20210927
Q355304,174617,10056271,20210927
Q2668072,502233,32762568,20210927
Q811979,113438,7307082,20210927
Q5084,118147,9019073,20210927
Q3947,203291,12916680,20210927
Q18593264,147399,10733361,20210927
Q9842,157477,8917896,20210927
Q13100073,588477,51615677,20210927
Q49008,127545,5188762,20210927
Q47150325,189366,14079339,20210927
Q54050,327287,17228772,20210927
Q19389637,151974,8290761,20210927
Q21014462,128799,7955969,20210927
Q11060274,119811,9702043,20210927
Q56436498,145820,15383541,20210927
Q11173,1223743,91340343,20210927
Q3305213,542363,56988994,20210927
Q4164871,120182,4733235,20210927
Q47521,124906,6660553,20210927
Q17633526,286956,21830774,20210927
Q4167836,4841747,760825681,20210927
Q486972,563150,39662625,20210927
Q4167410,1360560,180375354,20210927
Q532,274642,26577787,20210927
Q11266439,845228,114342329,20210927
Q8054,986721,88504325,20210927
Q41176,266302,16337365,20210927
Q4022,399506,28945116,20210927
Q23397,260186,18070813,20210927
Q6999,8413032,1143467400,20210927
Q13406463,335214,33810512,20211004
Q4830453,194143,14143910,20211004
Q13433827,512357,33393766,20211004
Q13442814,37367257,6545944262,20211004
Q482994,269404,21226713,20211004
Q7187,1196418,122431562,20211004
Q3331189,158406,11092422,20211004
Q61443690,129183,5313080,20211004
Q101352,479224,191313383,20211004
Q79007,580022,30334220,20211004
Q8502,525609,33342361,20211004
Q59199015,111609,5919223,20211004
Q16521,3218098,375037051,20211004
Q7725634,165281,10090164,20211004
Q23442,148584,9895477,20211004
Q30612,356844,27733481,20211004
Q27020041,158883,10700951,20211004
Q5,9365840,960615266,20211004
Q16970,212566,16952031,20211004
Q11424,263483,47309641,20211004
Q355304,174614,10081260,20211004
Q2668072,502237,32763485,20211004
Q811979,113278,7298133,20211004
Q5084,118085,9020271,20211004
Q3947,203224,12911953,20211004
Q18593264,147399,10733455,20211004
Q9842,157487,8919030,20211004
Q13100073,588477,51615768,20211004
Q49008,127545,5188778,20211004
Q47150325,189366,14080607,20211004
Q54050,327304,17230894,20211004
Q19389637,152337,8307799,20211004
Q21014462,128799,7955965,20211004
Q11060274,121861,9852924,20211004
Q56436498,145820,15383665,20211004
