item,subgraph_count,subgraph_list,subgraph_code_list
<http://www.wikidata.org/entity/Q4242731>,3,hamlet|human settlement|village,Q5084|Q486972|Q532
<http://www.wikidata.org/entity/Q12142210>,3,watercourse|stream|river,Q355304|Q47521|Q4022
<http://www.wikidata.org/entity/Q13663092>,3,hamlet|human settlement|village,Q5084|Q486972|Q532
<http://www.wikidata.org/entity/Q15118894>,3,hill|mountain|human settlement,Q54050|Q8502|Q486972
<http://www.wikidata.org/entity/Q12517998>,3,village|watercourse|river,Q532|Q355304|Q4022
<http://www.wikidata.org/entity/Q4952904>,3,village|hill|mountain,Q532|Q54050|Q8502
<http://www.wikidata.org/entity/Q20571024>,3,village|hamlet|human settlement,Q532|Q5084|Q486972
<http://www.wikidata.org/entity/Q20571302>,3,village|human settlement|hamlet,Q532|Q486972|Q5084
<http://www.wikidata.org/entity/Q29892004>,3,architectural structure|church building|house,Q811979|Q16970|Q3947
<http://www.wikidata.org/entity/Q18230784>,3,"literary work|scholarly article|version, edition, or translation",Q7725634|Q13442814|Q3331189
<http://www.wikidata.org/entity/Q4322183>,3,hamlet|village|human settlement,Q5084|Q532|Q486972
<http://www.wikidata.org/entity/Q21449969>,3,Wikimedia disambiguation page|Wikimedia list article|Wikimedia category,Q4167410|Q13406463|Q4167836
<http://www.wikidata.org/entity/Q20571706>,3,village|human settlement|hamlet,Q532|Q486972|Q5084
<http://www.wikidata.org/entity/Q12173546>,3,village|human settlement|hamlet,Q532|Q486972|Q5084
<http://www.wikidata.org/entity/Q20577547>,3,human settlement|hamlet|village,Q486972|Q5084|Q532
<http://www.wikidata.org/entity/Q20663815>,3,human settlement|hamlet|village,Q486972|Q5084|Q532
<http://www.wikidata.org/entity/Q4464652>,3,human settlement|village|hamlet,Q486972|Q532|Q5084
<http://www.wikidata.org/entity/Q2892231>,3,village|hill|human settlement,Q532|Q54050|Q486972
<http://www.wikidata.org/entity/Q97622812>,3,village|human settlement|house,Q532|Q486972|Q3947
<http://www.wikidata.org/entity/Q13662749>,3,village|hamlet|human settlement,Q532|Q5084|Q486972
<http://www.wikidata.org/entity/Q20664197>,3,village|hamlet|human settlement,Q532|Q5084|Q486972
<http://www.wikidata.org/entity/Q56887149>,3,stream|river|watercourse,Q47521|Q4022|Q355304
<http://www.wikidata.org/entity/Q20664190>,3,village|human settlement|hamlet,Q532|Q486972|Q5084
<http://www.wikidata.org/entity/Q827222>,3,river|stream|watercourse,Q4022|Q47521|Q355304
<http://www.wikidata.org/entity/Q13666826>,3,human settlement|hamlet|village,Q486972|Q5084|Q532
<http://www.wikidata.org/entity/Q97688789>,3,village|building|human settlement,Q532|Q41176|Q486972
<http://www.wikidata.org/entity/Q20574741>,3,human settlement|hamlet|village,Q486972|Q5084|Q532
<http://www.wikidata.org/entity/Q1961403>,3,street|hamlet|village,Q79007|Q5084|Q532
<http://www.wikidata.org/entity/Q13663087>,3,village|hamlet|human settlement,Q532|Q5084|Q486972
<http://www.wikidata.org/entity/Q13662863>,3,village|human settlement|hamlet,Q532|Q486972|Q5084
<http://www.wikidata.org/entity/Q13662753>,3,hamlet|village|human settlement,Q5084|Q532|Q486972
<http://www.wikidata.org/entity/Q12154446>,3,stream|watercourse|river,Q47521|Q355304|Q4022
<http://www.wikidata.org/entity/Q3216608>,3,watercourse|river|stream,Q355304|Q4022|Q47521
