a,b,from_a2b,from_b2a,common_preds,common_items,a_item%,b_item%
scholarly article,scholarly article,20374824.0,20374824.0,inf,inf,100.0,100.0
human,human,5484911.0,5484911.0,inf,inf,100.0,100.0
Wikimedia category,Wikimedia category,4839191.0,4839191.0,inf,inf,100.0,100.0
taxon,taxon,2432024.0,2432024.0,inf,inf,100.0,100.0
scholarly article,human,1813767.0,3869.0,525.0,6.0,0.0,0.0
Wikimedia disambiguation page,Wikimedia disambiguation page,1361143.0,1361143.0,inf,inf,100.0,100.0
protein,gene,938854.0,937527.0,170.0,12.0,0.0,0.0
Wikimedia template,Wikimedia template,844472.0,844472.0,inf,inf,100.0,100.0
astronomical object,astronomical object,567288.0,567288.0,inf,inf,100.0,100.0
human settlement,human settlement,517033.0,517033.0,inf,inf,100.0,100.0
mountain,mountain,511433.0,511433.0,inf,inf,100.0,100.0
river,river,393790.0,393790.0,inf,inf,100.0,100.0
encyclopedia article,encyclopedia article,386084.0,386084.0,inf,inf,100.0,100.0
Wikimedia list article,Wikimedia list article,334727.0,334727.0,inf,inf,100.0,100.0
human,family name,321203.0,163.0,315.0,14.0,0.0,0.0
hill,hill,312558.0,312558.0,inf,inf,100.0,100.0
Wikinews article,Wikinews article,286959.0,286959.0,inf,inf,100.0,100.0
album,album,265649.0,265649.0,inf,inf,100.0,100.0
village,village,261371.0,261371.0,inf,inf,100.0,100.0
gene,gene,242673.0,242673.0,inf,inf,100.0,100.0
film,film,239033.0,239033.0,inf,inf,100.0,100.0
lake,lake,233984.0,233984.0,inf,inf,100.0,100.0
film,human,229953.0,13087.0,732.0,26.0,0.01,0.0
calendar day of a given year,calendar day of a given year,189363.0,189363.0,inf,inf,100.0,100.0
watercourse,watercourse,174349.0,174349.0,inf,inf,100.0,100.0
scholarly article,chemical compound,173924.0,136.0,237.0,4.0,0.0,0.0
church building,church building,160597.0,160597.0,inf,inf,100.0,100.0
sports season,sports season,158571.0,158571.0,inf,inf,100.0,100.0
Wikimedia category,taxon,156468.0,156440.0,259.0,4.0,0.0,0.0
biographical article,biographical article,151857.0,151857.0,inf,inf,100.0,100.0
island,island,147736.0,147736.0,inf,inf,100.0,100.0
family name,family name,142403.0,142403.0,inf,inf,100.0,100.0
literary work,literary work,135498.0,135498.0,inf,inf,100.0,100.0
business,business,132634.0,132634.0,inf,inf,100.0,100.0
Wikimedia disambiguation page,family name,131914.0,127352.0,259.0,810.0,0.06,0.17
prime number,prime number,127504.0,127504.0,inf,inf,100.0,100.0
stream,stream,124009.0,124009.0,inf,inf,100.0,100.0
street,street,115482.0,115482.0,inf,inf,100.0,100.0
hamlet,hamlet,112591.0,112591.0,inf,inf,100.0,100.0
scholarly article,group of stereoisomers,99653.0,16.0,130.0,0.0,0.0,0.0
village in India,village in India,97851.0,97851.0,inf,inf,100.0,100.0
human,position,95977.0,8917.0,574.0,2.0,0.0,0.0
human,biographical article,93354.0,90510.0,128.0,2.0,0.0,0.0
scholarly article,protein,91295.0,3003.0,153.0,0.0,0.0,0.0
human,encyclopedia article,82422.0,65440.0,151.0,2.0,0.0,0.0
scholarly article,taxon,81387.0,374.0,324.0,10.0,0.0,0.0
building,building,73461.0,73461.0,inf,inf,100.0,100.0
painting,human,67004.0,15820.0,579.0,10.0,0.0,0.0
house,house,57060.0,57060.0,inf,inf,100.0,100.0
Wikimedia category,human,55144.0,44306.0,493.0,18.0,0.0,0.0
"version, edition, or translation","version, edition, or translation",52245.0,52245.0,inf,inf,100.0,100.0
literary work,human,47862.0,14042.0,862.0,2.0,0.0,0.0
taxon,human,45293.0,794.0,529.0,4.0,0.0,0.0
scholarly article,cell line,44442.0,19405.0,48.0,0.0,0.0,0.0
Wikimedia list article,Wikimedia category,38805.0,38535.0,445.0,66.0,0.02,0.0
"version, edition, or translation",human,38224.0,2736.0,722.0,0.0,0.0,0.0
chemical compound,taxon,35173.0,53.0,324.0,0.0,0.0,0.0
architectural structure,architectural structure,34207.0,34207.0,inf,inf,100.0,100.0
album,human,30280.0,2011.0,515.0,0.0,0.0,0.0
painting,painting,29822.0,29822.0,inf,inf,100.0,100.0
chemical compound,chemical compound,28553.0,28553.0,inf,inf,100.0,100.0
human,village,26508.0,353.0,519.0,12.0,0.0,0.0
group of stereoisomers,taxon,25789.0,1.0,138.0,0.0,0.0,0.0
human,human settlement,24503.0,782.0,693.0,2.0,0.0,0.0
street,human,18197.0,1662.0,389.0,0.0,0.0,0.0
business,human,17038.0,13624.0,1286.0,6.0,0.0,0.0
cell line,cell line,16937.0,16937.0,inf,inf,100.0,100.0
primary school,primary school,16357.0,16357.0,inf,inf,100.0,100.0
print,human,13499.0,200.0,229.0,0.0,0.0,0.0
church building,village,13347.0,61.0,522.0,14.0,0.01,0.01
church building,Wikimedia category,12488.0,10773.0,308.0,4.0,0.0,0.0
literary work,"version, edition, or translation",11771.0,8557.0,693.0,1304.0,0.79,0.83
human,Wikimedia disambiguation page,11746.0,2728.0,569.0,18.0,0.0,0.0
position,position,11477.0,11477.0,inf,inf,100.0,100.0
