human,river,"version, edition, or translation",primary school,Wikimedia category,hamlet,Wikimedia disambiguation page,business,building,church building,architectural structure,encyclopedia article,Wikimedia list article,film,clinical trial,island,human settlement,painting,position,house,literary work,village,album,taxon,scholarly article,hill,street,gene,lake,sports season,mountain,astronomical object,group of stereoisomers,Wikinews article,item of collection or exhibition,chemical compound,collection,village-level division in China,family name,print,protein,village in India,cell line,prime number,Wikimedia template,stream,watercourse,biographical article,branch post office,calendar day of a given year
5484911,620,2736,1031,44306,6331,11746,13624,2687,4844,884,82422,1973,13087,2,1459,24503,15820,95977,1023,14042,26508,2011,794,3869,154,1662,20,271,5448,661,103,2,84,26,73,724,27,321203,200,20,1622,9,10,855,37,64,93354,3,76
199,393790,15,0,3952,49,529,13,8,6,5,1977,26,8,0,116,284,2,1,0,14,301,1,56,0,38,5,0,4251,0,667,1,0,0,0,1,3,1,17,1,0,21,0,1,20,3801,8971,0,0,0
38224,15,52245,1,172,9,146,566,29,43,6,307,101,152,0,26,63,49,51,6,8557,120,284,95,2689,2,24,6,13,0,11,73,1,84,2,208,40,0,31,78,0,2,2,3,69,1,0,12,0,1
631,2,0,16357,1278,29,15,21,159,9,9,2,26,0,0,25,843,0,2,6,1,2792,0,1,0,1,2046,0,0,0,1,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,2,0,0,0
55144,4139,167,1243,4839191,579,1715,5472,823,10773,423,5,38535,278,0,1112,5074,82,7294,128,719,3911,46,156468,11,188,803,8,321,6786,2089,2038,7,32,1,190,57,0,846,1,11,29,0,7,399,111,94,3,0,6458
46,117,8,6,654,112591,493,3,6,10,3,76,25,1,0,57,1663,0,15,152,4,3375,0,20,0,5,26,0,22,0,6,0,0,0,0,0,2,0,4,0,0,1,0,0,0,7,7,0,0,0
2728,56,134,0,1597,15,1361143,205,10,20,13,441,278,387,0,20,174,51,85,1,183,81,6330,221,113,23,23,5,12,129,66,30,0,0,0,21,2,1,131914,5,2,6,1,2,25,9,13,5,0,1
17038,31,29,7,5148,26,463,132634,442,3,77,72,131,119,0,81,1082,57,80,16,25,690,27,64,39,9,6087,1,7,24,22,35,3,2,0,119,30,5,47,1,4,18,1,1,134,3,6,6,0,0
6777,42,22,96,1071,286,61,997,73461,256,444,23,1840,2,0,134,733,6,73,644,17,7024,3,11,25,25,7515,0,11,3,19,0,0,0,0,2,21,2,9,1,0,12,0,0,2,4,4,0,0,0
6372,28,34,7,12488,597,151,31,264,160597,1008,32,4839,1,0,414,3109,39,18,43,207,13347,2,6,5,20,4696,0,17,0,92,0,0,0,0,0,8,2,5,0,0,35,0,0,0,3,3,0,0,1
2033,70,4,8,484,139,23,296,482,1042,34207,11,1782,3,0,83,345,2,16,398,6,6058,0,3,2,10,802,0,7,1,21,0,0,1,0,1,30,0,2,0,0,2,0,0,3,3,7,0,0,0
65440,1301,386,1,5,60,829,55,20,32,8,386084,43,0,0,408,691,6,213,2,162,538,0,2527,139,27,12,0,218,0,218,147,7,0,0,294,1,1,107,0,1,8,0,0,0,15,27,2159,0,0
2760,45,106,0,38805,5,250,209,64,25,31,69,334727,103,0,37,143,42,2417,56,103,158,214,209,17,2,22,0,9,418,8,122,0,3,0,4,8,0,44,0,0,4,0,0,191,0,1,0,0,12
229953,43,74,1,215,14,1812,1481,64,20,18,0,120,239033,0,108,163,25,54,8,2620,102,1335,71,19,15,163,0,22,11,47,17,0,1,1,11,24,3,42,0,0,12,0,3,5,2,4,0,0,6
880,0,7,0,1,0,50,701,22,0,5,1,0,0,56,3,4,0,2,0,3,1,1,23,6235,0,0,14,0,0,0,0,49,0,0,2136,3,0,0,0,29,0,0,0,0,0,0,0,0,0
384,218,9,0,1739,10,119,17,5,3,0,671,49,3,0,147736,407,1,10,0,8,204,5,43,0,46,4,0,357,0,480,2,0,0,0,1,7,1,10,1,0,7,0,1,4,6,12,0,0,0
782,542,22,1,7433,1590,934,45,45,89,32,1194,1828,24,0,716,517033,1,182,162,11,2187,9,188,6,54,29,1,101,8,161,7,0,0,0,1,4,603,50,0,0,117,0,1,7,45,62,0,0,0
67004,276,155,0,47,5,237,148,224,2271,71,14,27,31,0,131,139,29822,117,95,220,124,14,1175,54,29,289,6,100,1,158,32,0,1,5,10,118,0,32,32,1,5,0,4,1,9,8,4,0,11
