subgraph,subgraph_code,label,item_count,triple_count,triple_percentage,item_percentage,density,subgraph_rank,item_rank
<http://www.wikidata.org/entity/Q13442814>,Q13442814,scholarly article,37362641,6539020889,49.732,39.747,175.01495381442655,1,1
<http://www.wikidata.org/entity/Q5>,Q5,human,9315444,954536943,7.26,9.91,102.4682176179686,3,2
<http://www.wikidata.org/entity/Q6999>,Q6999,astronomical object,8412914,1136682291,8.645,8.95,135.1116023532393,2,3
<http://www.wikidata.org/entity/Q4167836>,Q4167836,Wikimedia category,4840195,753127982,5.728,5.149,155.59868600335318,4,4
<http://www.wikidata.org/entity/Q16521>,Q16521,taxon,3180248,367926462,2.798,3.383,115.69112283067233,5,5
<http://www.wikidata.org/entity/Q4167410>,Q4167410,Wikimedia disambiguation page,1359804,180124174,1.37,1.447,132.4633358925257,7,6
<http://www.wikidata.org/entity/Q11173>,Q11173,chemical compound,1223387,91228463,0.694,1.301,74.5704041321348,10,7
<http://www.wikidata.org/entity/Q7187>,Q7187,gene,1196361,122421508,0.931,1.273,102.32823370203475,8,8
<http://www.wikidata.org/entity/Q8054>,Q8054,protein,986599,88483828,0.673,1.05,89.68570614809056,11,9
<http://www.wikidata.org/entity/Q11266439>,Q11266439,Wikimedia template,845852,114308711,0.869,0.9,135.1403212382308,9,10
<http://www.wikidata.org/entity/Q13100073>,Q13100073,village-level division in China,588477,51615572,0.393,0.626,87.71043218341583,13,11
<http://www.wikidata.org/entity/Q79007>,Q79007,street,578926,30252119,0.23,0.616,52.25558879718651,20,12
<http://www.wikidata.org/entity/Q486972>,Q486972,human settlement,563958,39590792,0.301,0.6,70.20166750006206,15,13
<http://www.wikidata.org/entity/Q3305213>,Q3305213,painting,539468,56769083,0.432,0.574,105.23160409885294,12,14
<http://www.wikidata.org/entity/Q8502>,Q8502,mountain,525553,33340188,0.254,0.559,63.438298325763526,18,15
<http://www.wikidata.org/entity/Q13433827>,Q13433827,encyclopedia article,512141,33373227,0.254,0.545,65.16413839157576,17,16
<http://www.wikidata.org/entity/Q2668072>,Q2668072,collection,500968,32670637,0.248,0.533,65.21501772568308,19,17
<http://www.wikidata.org/entity/Q101352>,Q101352,family name,481445,187299892,1.424,0.512,389.03694503006574,6,18
<http://www.wikidata.org/entity/Q4022>,Q4022,river,399552,28833476,0.219,0.425,72.16451425596668,21,19
<http://www.wikidata.org/entity/Q30612>,Q30612,clinical trial,356838,27731502,0.211,0.38,77.71454273367746,22,20
<http://www.wikidata.org/entity/Q13406463>,Q13406463,Wikimedia list article,334939,33742245,0.257,0.356,100.74146337094217,16,21
<http://www.wikidata.org/entity/Q54050>,Q54050,hill,327277,17228390,0.131,0.348,52.64161551224193,27,22
<http://www.wikidata.org/entity/Q17633526>,Q17633526,Wikinews article,286950,21830150,0.166,0.305,76.07649416274613,24,23
<http://www.wikidata.org/entity/Q532>,Q532,village,274840,26483275,0.201,0.292,96.35888153107263,23,24
<http://www.wikidata.org/entity/Q482994>,Q482994,album,269095,21181015,0.161,0.286,78.71203478325498,25,25
<http://www.wikidata.org/entity/Q41176>,Q41176,building,265925,16293008,0.124,0.283,61.269184920560306,29,26
<http://www.wikidata.org/entity/Q11424>,Q11424,film,263070,47176067,0.359,0.28,179.3289504694568,14,27
<http://www.wikidata.org/entity/Q23397>,Q23397,lake,260135,18053096,0.137,0.277,69.39895054490937,26,28
<http://www.wikidata.org/entity/Q16970>,Q16970,church building,211291,16821530,0.128,0.225,79.61309284351913,28,29
<http://www.wikidata.org/entity/Q3947>,Q3947,house,197736,12468434,0.095,0.21,63.05596350689809,33,30
<http://www.wikidata.org/entity/Q4830453>,Q4830453,business,193858,14101220,0.107,0.206,72.73994367010904,31,31
<http://www.wikidata.org/entity/Q47150325>,Q47150325,calendar day of a given year,189366,14078486,0.107,0.201,74.34537350950012,32,32
<http://www.wikidata.org/entity/Q355304>,Q355304,watercourse,174620,10080421,0.077,0.186,57.727757416103536,37,33
<http://www.wikidata.org/entity/Q7725634>,Q7725634,literary work,164860,10049521,0.076,0.175,60.95790974159893,38,34
<http://www.wikidata.org/entity/Q27020041>,Q27020041,sports season,158877,10693504,0.081,0.169,67.30680967037394,36,35
<http://www.wikidata.org/entity/Q3331189>,Q3331189,"version, edition, or translation",157486,10997589,0.084,0.168,69.83216920869157,34,36
<http://www.wikidata.org/entity/Q9842>,Q9842,primary school,157451,8916373,0.068,0.168,56.629510133311314,43,37
<http://www.wikidata.org/entity/Q19389637>,Q19389637,biographical article,151026,8238397,0.063,0.161,54.54952789585899,44,38
<http://www.wikidata.org/entity/Q23442>,Q23442,island,148587,9885277,0.075,0.158,66.52854556589742,39,39
<http://www.wikidata.org/entity/Q18593264>,Q18593264,item of collection or exhibition,147402,10732969,0.082,0.157,72.81426981994817,35,40
<http://www.wikidata.org/entity/Q811979>,Q811979,architectural structure,145957,9666936,0.074,0.155,66.23139691827045,41,41
<http://www.wikidata.org/entity/Q56436498>,Q56436498,village in India,145824,15383416,0.117,0.155,105.49303269694975,30,42
<http://www.wikidata.org/entity/Q61443690>,Q61443690,branch post office,129183,5313033,0.04,0.137,41.127958013051256,48,43
<http://www.wikidata.org/entity/Q21014462>,Q21014462,cell line,128805,7955975,0.061,0.137,61.76759442568223,45,44
<http://www.wikidata.org/entity/Q49008>,Q49008,prime number,127545,5188768,0.039,0.136,40.681861303853545,49,45
<http://www.wikidata.org/entity/Q47521>,Q47521,stream,124853,6654366,0.051,0.133,53.29760598463793,46,46
<http://www.wikidata.org/entity/Q4164871>,Q4164871,position,120117,4720668,0.036,0.128,39.3005819326157,50,47
<http://www.wikidata.org/entity/Q11060274>,Q11060274,print,119806,9700063,0.074,0.127,80.96475134801263,40,48
