subgraph,direct,wddirect,nwddirect,statements,inside_statements
<http://www.wikidata.org/entity/Q41176>,4758995,2316655,2442340,2272256,8817112
<http://www.wikidata.org/entity/Q17633526>,16689382,804536,15884846,804514,2790418
<http://www.wikidata.org/entity/Q4022>,10476404,3269952,7206452,2853639,12184115
<http://www.wikidata.org/entity/Q7187>,32626974,17309367,15317607,15994173,73519310
<http://www.wikidata.org/entity/Q61443690>,1565091,775436,789655,775436,2972553
<http://www.wikidata.org/entity/Q23442>,3354686,1127832,2226854,960336,3988437
<http://www.wikidata.org/entity/Q11173>,44167483,11580903,32586580,10517255,35882533
<http://www.wikidata.org/entity/Q5084>,2665744,986418,1679326,926285,4080973
<http://www.wikidata.org/entity/Q16521>,174186235,37218788,136967447,32774202,125325142
<http://www.wikidata.org/entity/Q532>,9519018,2566665,6952353,2324701,9651616
<http://www.wikidata.org/entity/Q13442814>,2413410221,825273136,1588137085,797931270,3338058065
<http://www.wikidata.org/entity/Q3331189>,3312579,1695101,1617478,1559617,6072579
<http://www.wikidata.org/entity/Q13406463>,27168578,829082,26339496,826808,2710608
<http://www.wikidata.org/entity/Q4164871>,2147050,600497,1546553,594727,1873285
<http://www.wikidata.org/entity/Q7725634>,3070085,1392458,1677627,1259836,4657604
<http://www.wikidata.org/entity/Q59199015>,2002140,901931,1100209,886627,3042018
<http://www.wikidata.org/entity/Q47521>,2171846,862342,1309504,737285,3129968
<http://www.wikidata.org/entity/Q47150325>,8885135,965525,7919610,964519,3848109
<http://www.wikidata.org/entity/Q13100073>,35914215,3532621,32381594,3532084,12165620
<http://www.wikidata.org/entity/Q482994>,7382092,2584869,4797223,2257082,8980819
<http://www.wikidata.org/entity/Q9842>,2694762,1248144,1446618,1236872,4913716
<http://www.wikidata.org/entity/Q49008>,2428462,519793,1908669,644568,2074437
<http://www.wikidata.org/entity/Q2668072>,8999385,4979275,4020110,5218786,18538822
<http://www.wikidata.org/entity/Q11060274>,2386953,1441258,945695,1446955,6018386
<http://www.wikidata.org/entity/Q19389637>,2787923,1051700,1736223,1071138,3666954
<http://www.wikidata.org/entity/Q21014462>,3724377,845678,2878699,845470,3498771
<http://www.wikidata.org/entity/Q5>,318618863,127084008,191534855,116249845,465496100
<http://www.wikidata.org/entity/Q11266439>,100411421,894785,99516636,894440,2765818
<http://www.wikidata.org/entity/Q101352>,178108015,2989149,175118866,2989076,9410460
<http://www.wikidata.org/entity/Q30612>,7872348,4452296,3420052,4453979,15452355
<http://www.wikidata.org/entity/Q18593264>,2860701,1820483,1040218,1820538,6055810
<http://www.wikidata.org/entity/Q54050>,6158750,2183127,3975623,1858366,7923757
<http://www.wikidata.org/entity/Q6999>,277906880,116016182,161890698,144556973,720173447
<http://www.wikidata.org/entity/Q355304>,3753998,1226746,2527252,1045751,4478110
<http://www.wikidata.org/entity/Q16970>,4894303,2360507,2533796,2275554,8416227
<http://www.wikidata.org/entity/Q27020041>,2913291,1295808,1617483,1157600,4556761
<http://www.wikidata.org/entity/Q4167836>,657204686,8998546,648206140,9001968,30155861
<http://www.wikidata.org/entity/Q3947>,3795765,1902907,1892858,1883171,6928202
<http://www.wikidata.org/entity/Q4830453>,4132040,1842097,2289943,1678095,6851052
<http://www.wikidata.org/entity/Q4167410>,160703176,1617168,159086008,1614954,5288259
<http://www.wikidata.org/entity/Q79007>,11526095,4192994,7333101,4113335,14003547
<http://www.wikidata.org/entity/Q8054>,24580188,12624677,11955511,11361163,52533824
<http://www.wikidata.org/entity/Q8502>,13057232,3792142,9265090,3240665,13561576
<http://www.wikidata.org/entity/Q3305213>,20760729,6873382,13887347,6827517,29135605
<http://www.wikidata.org/entity/Q23397>,6635760,2044165,4591595,1836611,7766126
<http://www.wikidata.org/entity/Q56436498>,4704617,1283960,3420657,1467522,8456051
<http://www.wikidata.org/entity/Q11424>,12794097,6783086,6011011,6543633,24598650
<http://www.wikidata.org/entity/Q811979>,1931607,973222,958385,980788,4107794
<http://www.wikidata.org/entity/Q13433827>,18207069,3013570,15193499,2923708,10346861
<http://www.wikidata.org/entity/Q486972>,13378285,4294301,9083984,3853425,15676380
