subject_subgraph,object_subgraph,count,subject_subgraph_label,object_subgraph_label
<http://www.wikidata.org/entity/Q13442814>,<http://www.wikidata.org/entity/Q13442814>,20365813,scholarly article,scholarly article
<http://www.wikidata.org/entity/Q5>,<http://www.wikidata.org/entity/Q5>,1827334,human,human
<http://www.wikidata.org/entity/Q13442814>,<http://www.wikidata.org/entity/Q5>,1813697,scholarly article,human
<http://www.wikidata.org/entity/Q8054>,<http://www.wikidata.org/entity/Q7187>,938852,protein,gene
<http://www.wikidata.org/entity/Q7187>,<http://www.wikidata.org/entity/Q8054>,937518,gene,protein
<http://www.wikidata.org/entity/Q16521>,<http://www.wikidata.org/entity/Q16521>,484226,taxon,taxon
<http://www.wikidata.org/entity/Q5>,<http://www.wikidata.org/entity/Q101352>,320973,human,family name
<http://www.wikidata.org/entity/Q6999>,<http://www.wikidata.org/entity/Q6999>,304803,astronomical object,astronomical object
<http://www.wikidata.org/entity/Q7187>,<http://www.wikidata.org/entity/Q7187>,240281,gene,gene
<http://www.wikidata.org/entity/Q11424>,<http://www.wikidata.org/entity/Q5>,225968,film,human
<http://www.wikidata.org/entity/Q13442814>,<http://www.wikidata.org/entity/Q11173>,173923,scholarly article,chemical compound
<http://www.wikidata.org/entity/Q4167836>,<http://www.wikidata.org/entity/Q16521>,156464,Wikimedia category,taxon
<http://www.wikidata.org/entity/Q16521>,<http://www.wikidata.org/entity/Q4167836>,156425,taxon,Wikimedia category
<http://www.wikidata.org/entity/Q482994>,<http://www.wikidata.org/entity/Q482994>,144951,album,album
<http://www.wikidata.org/entity/Q4167410>,<http://www.wikidata.org/entity/Q101352>,131596,Wikimedia disambiguation page,family name
<http://www.wikidata.org/entity/Q49008>,<http://www.wikidata.org/entity/Q49008>,127503,prime number,prime number
<http://www.wikidata.org/entity/Q101352>,<http://www.wikidata.org/entity/Q4167410>,127076,family name,Wikimedia disambiguation page
<http://www.wikidata.org/entity/Q13442814>,<http://www.wikidata.org/entity/Q59199015>,99653,scholarly article,group of stereoisomers
