code,label,count,perc_of_entities
Q13442814,scholarly article,37362641,39.747490425531915
Q5,human,9315444,9.910046808510637
Q4167836,Wikimedia category,4840195,5.149143617021276
Q523,star,3296372,3.5067787234042553
Q16521,taxon,3180248,3.383242553191489
Q318,galaxy,2098557,2.2325074468085107
Q7318358,review article,2087896,2.2211659574468086
Q4167410,Wikimedia disambiguation page,1359804,1.4466
Q11173,chemical compound,1223387,1.3014755319148936
Q7187,gene,1196361,1.2727244680851064
Q8054,protein,986599,1.049573404255319
Q11266439,Wikimedia template,845852,0.8998425531914893
Q13100073,village-level division in China,588477,0.6260393617021277
Q79007,street,578926,0.6158787234042553
Q486972,human settlement,563958,0.5999553191489362
Q3305213,painting,539468,0.5739021276595745
Q8502,mountain,525553,0.5590989361702128
Q871232,editorial,512949,0.5456904255319149
Q13433827,encyclopedia article,512141,0.5448308510638298
Q2668072,collection,500968,0.5329446808510638
Q101352,family name,481450,0.5121808510638298
Q4022,river,399552,0.4250553191489362
Q30612,clinical trial,356838,0.3796148936170213
Q1931185,astronomical radio source,354111,0.37671382978723406
Q13406463,Wikimedia list article,334939,0.35631808510638296
Q54050,hill,327277,0.34816702127659577
Q1457376,eclipsing binary star,292232,0.3108851063829787
Q17633526,Wikinews article,286950,0.3052659574468085
Q2247863,high proper-motion star,284830,0.30301063829787234
Q532,village,274840,0.29238297872340424
Q482994,album,269095,0.2862712765957447
Q41176,building,265925,0.2828989361702128
Q11424,film,263070,0.2798617021276596
Q23397,lake,260135,0.27673936170212765
Q3863,asteroid,247441,0.2632351063829787
Q16970,church building,211291,0.22477765957446807
Q3947,house,197736,0.21035744680851065
Q4830453,business,193858,0.20623191489361703
Q47150325,calendar day of a given year,189366,0.2014531914893617
Q2782326,case report,187265,0.19921808510638297
Q355304,watercourse,174620,0.18576595744680852
Q83373,quasar,168332,0.17907659574468085
Q7725634,literary work,164860,0.17538297872340425
Q27020041,sports season,158877,0.16901808510638297
Q3331189,"version, edition, or translation",157486,0.16753829787234042
Q9842,primary school,157451,0.16750106382978724
Q19389637,biographical article,151026,0.1606659574468085
Q23442,island,148587,0.1580712765957447
Q18593264,item of collection or exhibition,147402,0.15681063829787234
Q811979,architectural structure,145957,0.15527340425531916
Q56436498,village in India,145824,0.15513191489361702
Q2154519,astrophysical X-ray source,144604,0.1538340425531915
Q61443690,branch post office,129183,0.13742872340425533
Q21014462,cell line,128805,0.13702659574468085
Q49008,prime number,127545,0.13568617021276597
Q47521,stream,124853,0.13282234042553193
Q4164871,position,120117,0.12778404255319148
Q11060274,print,119806,0.1274531914893617
Q5084,hamlet,118188,0.12573191489361701
Q59199015,group of stereoisomers,111599,0.11872234042553191
Q815382,meta-analysis,109713,0.11671595744680852
Q5185279,poem,104353,0.11101382978723404
Q23038290,fossil taxon,104227,0.11087978723404256
Q39816,valley,97013,0.10320531914893617
Q5633421,scientific journal,96730,0.10290425531914893
Q55488,railway station,96637,0.10280531914893618
Q726242,RR Lyrae variable,96425,0.10257978723404255
Q134556,single,96262,0.1024063829787234
Q985488,residential community of the People's Republic of China,90783,0.09657765957446808
Q105543609,musical work/composition,89865,0.09560106382978724
Q1153690,long-period variable star,88933,0.0946095744680851
Q7604686,UK Statutory Instrument,88775,0.09444148936170213
Q1260524,time of the day,87876,0.09348510638297872
Q22698,park,87016,0.09257021276595745
Q427087,non-coding RNA,85080,0.09051063829787234
Q204107,galaxy cluster,84484,0.08987659574468085
Q473972,protected area,84343,0.08972659574468085
Q93184,drawing,83755,0.08910106382978723
Q2225692,fourth-level administrative division in Indonesia,83260,0.08857446808510638
Q215380,musical group,81729,0.08694574468085106
Q1348305,erratum,80211,0.08533085106382979
Q71963409,compact group of galaxies,78886,0.08392127659574468
Q11446,ship,76983,0.0818968085106383
Q452237,motion,76761,0.08166063829787235
Q67206691,infrared source,76076,0.08093191489361702
Q1151284,D galaxy,74770,0.07954255319148937
Q12323,dam,74329,0.07907340425531915
Q43229,organization,74271,0.07901170212765958
Q67383935,co-educational school,73751,0.07845851063829787
Q47461344,written work,73175,0.07784574468085106
Q67206701,far-IR source,72253,0.07686489361702127
Q732577,publication,70985,0.07551595744680852
Q22808320,Wikimedia human name disambiguation page,70123,0.07459893617021277
Q124714,spring,69694,0.07414255319148937
Q191067,article,69611,0.07405425531914894
Q66619666,Red Giant Branch star,68873,0.07326914893617022
Q19855165,rural school,68032,0.07237446808510638
Q34442,road,67586,0.0719
Q2065736,cultural property,66882,0.07115106382978724
Q55659167,natural watercourse,66450,0.07069148936170212
Q21191270,television series episode,62433,0.06641808510638297
Q72802727,possible red giant branch star,61736,0.06567659574468085
Q96739634,individual motion,61198,0.06510425531914893
Q57733494,badminton event,61047,0.0649436170212766
Q2151232,townland,60789,0.0646691489361702
Q2341654,stone setting,60651,0.06452234042553191
Q5398426,television series,58380,0.0621063829787234
Q125191,photograph,58279,0.061998936170212765
Q277338,pseudogene,57701,0.06138404255319149
Q3558970,village of Poland,56098,0.05967872340425532
Q41253,movie theater,55722,0.05927872340425532
Q1002697,periodical,54091,0.0575436170212766
Q108325,chapel,53109,0.05649893617021277
Q1580166,dictionary entry,52888,0.05626382978723404
Q15632617,fictional human,52023,0.055343617021276596
Q187971,wadi,51979,0.0552968085106383
Q2168098,rotating variable star,48884,0.052004255319148936
Q22969563,bodendenkmal,48714,0.05182340425531915
Q6881511,enterprise,48231,0.05130957446808511
Q860861,sculpture,47760,0.050808510638297874
Q27555384,transformed cell line,47759,0.05080744680851064
Q12284,canal,47576,0.050612765957446806
Q839954,archaeological site,46824,0.04981276595744681
Q179700,statue,46750,0.04973404255319149
Q15416,television program,46533,0.0495031914893617
Q820477,mine,45148,0.048029787234042554
Q18340514,events in a specific year or time period,45138,0.048019148936170215
Q11753321,Wikimedia navigational template,44746,0.047602127659574466
Q34023,tumulus,44691,0.047543617021276595
Q6243,variable star,44593,0.04743936170212766
Q7889,video game,44042,0.0468531914893617
Q39614,cemetery,43500,0.04627659574468085
Q2996394,biological process,42074,0.04475957446808511
Q26211545,desa,41247,0.04387978723404255
Q253019,Ortsteil,41098,0.04372127659574468
Q33506,museum,40716,0.043314893617021274
Q28564,public library,40580,0.04317021276595745
Q11032,newspaper,40401,0.042979787234042555
Q484170,commune of France,40263,0.042832978723404254
Q29654788,Unicode character,39864,0.04240851063829787
Q489357,farmhouse,39705,0.04223936170212766
Q3257686,locality,38702,0.04117234042553192
Q1516079,cultural heritage ensemble,38043,0.04047127659574468
Q17343829,unincorporated community in the United States,37905,0.04032446808510638
Q12308941,male given name,37226,0.039602127659574465
Q24529780,point,36804,0.0391531914893617
Q3914,school,36484,0.03881276595744681
Q585956,masia,36184,0.03849361702127659
Q5783996,cottage,35619,0.03789255319148936
Q476028,association football club,35600,0.03787234042553191
Q23894233,Wikimedia templates category,34934,0.037163829787234044
Q59542487,Wikimedia set category,34384,0.03657872340425532
Q99045339,written question,34278,0.036465957446808514
Q126807,kindergarten,34213,0.0363968085106383
Q39594,bay,33545,0.03568617021276596
Q100532807,Irish Statutory Instrument,33429,0.035562765957446806
Q187685,doctoral thesis,32725,0.03481382978723404
Q72802508,emission-line galaxy,32567,0.03464574468085106
Q26887310,association football team season,32270,0.03432978723404255
Q23925393,Douar,32023,0.03406702127659574
Q9826,high school,31269,0.03326489361702128
Q24862,short film,31161,0.03315
Q14204246,Wikimedia project page,31029,0.033009574468085105
Q18918145,academic journal article,30491,0.03243723404255319
Q15184295,Wikimedia module,29304,0.031174468085106384
Q11282,H II region,29288,0.03115744680851064
Q41298,magazine,28649,0.030477659574468085
Q4989906,monument,28491,0.030309574468085108
Q72803170,low-mass star,28152,0.029948936170212766
Q16510064,sporting event,28068,0.029859574468085105
Q23058136,cancer cell line,27960,0.02974468085106383
Q1681353,bog,27696,0.029463829787234042
Q1332364,rotating ellipsoidal variable,27128,0.028859574468085108
Q2334719,legal case,27053,0.028779787234042554
Q72802977,young stellar object candidate,26870,0.028585106382978724
Q34763,peninsula,26735,0.028441489361702127
Q46190676,tennis event,26646,0.028346808510638297
Q14350,radio station,26550,0.028244680851063828
Q21672098,village of Ukraine,26479,0.028169148936170212
Q820655,legislation,26437,0.028124468085106383
Q163740,nonprofit organization,26427,0.028113829787234042
Q65954115,State Bank of India branch,26369,0.028052127659574468
Q1195098,ward,26181,0.02785212765957447
Q67015940,Government Boys' Primary School,26161,0.02783085106382979
Q189004,college,25707,0.02734787234042553
Q6999,astronomical object,25629,0.027264893617021276
Q123705,neighborhood,25191,0.026798936170212766
Q16917,hospital,24950,0.026542553191489363
Q12280,bridge,24791,0.026373404255319147
Q61443650,sub post office,24761,0.02634148936170213
Q4421,forest,24642,0.026214893617021277
Q1248784,airport,24586,0.02615531914893617
Q852190,shipwreck,24497,0.026060638297872342
Q1491746,galaxy group,24493,0.026056382978723404
Q5707594,news article,24375,0.025930851063829786
Q26895936,American football team season,23723,0.02523723404255319
Q30198,marsh,23651,0.02516063829787234
Q66826848,"protein obsoleted in UniProtKB, SwissProt, TrEMBL",23629,0.02513723404255319
Q751876,château,23601,0.02510744680851064
Q155076,juridical person,23514,0.025014893617021278
Q207326,summit,23467,0.024964893617021276
Q11879590,female given name,23307,0.02479468085106383
Q417841,protein family,23278,0.024763829787234043
Q46831,mountain range,23084,0.024557446808510637
Q7075,library,22927,0.024390425531914894
Q272447,molecular cloud,22912,0.024374468085106384
Q497654,young stellar object,22783,0.02423723404255319
Q838948,work of art,22771,0.024224468085106383
Q24046192,Wikimedia category of stubs,22149,0.02356276595744681
Q737498,academic journal,22133,0.023545744680851063
Q847017,sports club,22088,0.02349787234042553
Q176799,military unit,21926,0.023325531914893616
Q10870555,report,21655,0.02303723404255319
Q13890,double star,21620,0.023
Q735428,town in China,21607,0.022986170212765958
Q133056,mountain pass,21556,0.022931914893617022
Q19860854,destroyed building or structure,21412,0.022778723404255317
Q23413,castle,21168,0.022519148936170214
Q16887380,group,21149,0.022498936170212765
Q210272,cultural heritage,21129,0.022477659574468085
Q3052382,fonds,21104,0.022451063829787236
Q204194,dark nebula,21034,0.02237659574468085
Q130019,carbon star,20987,0.02232659574468085
Q2309609,wayside cross,20605,0.021920212765957448
Q185113,cape,20588,0.02190212765957447
Q131681,reservoir,20087,0.021369148936170212
Q220659,archaeological artifact,20049,0.021328723404255318
Q618779,award,20027,0.02130531914893617
Q1303167,barn,19964,0.021238297872340425
Q202444,given name,19840,0.021106382978723404
Q2042028,ravine,19518,0.020763829787234043
Q19692072,United States Supreme Court decision,19362,0.02059787234042553
