subgraph_rank,query_rank,query_time_rank,subgraph,subgraph_label,item_percentage,triple_percentage,days_to_recover,query_count,query_count_percent,total_query_time_(hr),query_time_percent,avg_time_per_query(s)
1,6,13,Q13442814,scholarly article,39.815,48.935,1378,4944995,2.595,262.843,1.713,0.191
2,8,25,Q6999,astronomical object,8.943,8.684,245,2444109,1.283,79.245,0.516,0.117
3,1,1,Q5,human,10.045,7.254,204,60868572,31.941,5247.87,34.195,0.31
4,20,28,Q4167836,Wikimedia category,5.175,5.806,164,808536,0.424,74.349,0.484,0.331
5,2,11,Q16521,taxon,3.5,2.885,81,27172995,14.259,480.464,3.131,0.064
6,4,5,Q101352,family name,0.511,1.646,46,5990617,3.144,658.702,4.292,0.396
7,7,3,Q4167410,Wikimedia disambiguation page,1.464,1.354,38,3292873,1.728,764.575,4.982,0.836
8,25,16,Q7187,gene,1.273,0.911,26,604364,0.317,207.777,1.354,1.238
9,104,105,Q11266439,Wikimedia template,0.904,0.854,24,189137,0.099,21.65,0.141,0.412
10,119,64,Q29654788,Unicode character,0.123,0.834,23,172117,0.09,31.977,0.208,0.669
11,26,26,Q11173,chemical compound,1.302,0.684,19,588469,0.309,76.095,0.496,0.466
12,51,74,Q8054,protein,1.05,0.659,19,370047,0.194,28.05,0.183,0.273
13,17,24,Q3305213,painting,0.579,0.426,12,926701,0.486,85.693,0.558,0.333
14,145,118,Q13100073,village-level division in China,0.626,0.384,11,128446,0.067,19.227,0.125,0.539
15,5,2,Q11424,film,0.284,0.359,10,5067305,2.659,1541.091,10.042,1.095
16,14,4,Q486972,human settlement,0.612,0.298,8,1328064,0.697,699.329,4.557,1.896
17,187,266,Q815382,meta-analysis,0.117,0.266,7,88046,0.046,2.2,0.014,0.09
18,263,259,Q13433827,encyclopedia article,0.555,0.252,7,28063,0.015,3.047,0.02,0.391
19,11,22,Q13406463,Wikimedia list article,0.355,0.249,7,1766742,0.927,117.472,0.765,0.239
20,22,41,Q8502,mountain,0.559,0.248,7,749283,0.393,46.911,0.306,0.225
21,55,18,Q2668072,collection,0.534,0.244,7,340337,0.179,164.18,1.07,1.737
22,30,43,Q79007,street,0.626,0.23,6,535623,0.281,44.409,0.289,0.298
23,31,34,Q4022,river,0.425,0.216,6,520347,0.273,56.07,0.365,0.388
24,132,228,Q30612,clinical trial,0.38,0.206,6,140352,0.074,6.91,0.045,0.177
25,19,32,Q532,village,0.294,0.199,6,872310,0.458,61.203,0.399,0.253
26,10,29,Q484170,commune of France,0.048,0.179,5,1934902,1.015,69.856,0.455,0.13
27,271,297,Q17633526,Wikinews article,0.305,0.163,5,23043,0.012,0.776,0.005,0.121
28,23,33,Q482994,album,0.288,0.16,5,704746,0.37,59.482,0.388,0.304
29,36,48,Q23397,lake,0.279,0.136,4,456054,0.239,41.919,0.273,0.331
31,28,39,Q16970,church building,0.227,0.128,4,577677,0.303,48.272,0.315,0.301
30,64,71,Q54050,hill,0.348,0.128,4,284658,0.149,30.525,0.199,0.386
32,34,31,Q41176,building,0.29,0.124,3,463636,0.243,64.848,0.423,0.504
33,213,120,Q56436498,village in India,0.155,0.114,3,70450,0.037,18.77,0.122,0.959
34,3,7,Q4830453,business,0.208,0.107,3,9228037,4.842,553.539,3.607,0.216
35,180,288,Q47150325,calendar day of a given year,0.201,0.106,3,94082,0.049,1.075,0.007,0.041
36,33,63,Q3947,house,0.216,0.096,3,465249,0.244,32.566,0.212,0.252
37,13,47,Q7725634,literary work,0.203,0.087,2,1377546,0.723,41.943,0.273,0.11
38,50,117,Q3331189,"version, edition, or translation",0.191,0.087,2,374597,0.197,19.321,0.126,0.186
39,278,300,Q1348305,erratum,0.086,0.085,2,19991,0.01,0.642,0.004,0.116
40,59,170,Q27020041,sports season,0.169,0.081,2,326745,0.171,12.613,0.082,0.139
41,239,57,Q18593264,item of collection or exhibition,0.157,0.08,2,45806,0.024,35.152,0.229,2.763
42,48,119,Q22808320,Wikimedia human name disambiguation page,0.075,0.077,2,381873,0.2,19.223,0.125,0.181
43,94,78,Q355304,watercourse,0.186,0.076,2,204033,0.107,26.851,0.175,0.474
44,44,38,Q55488,railway station,0.104,0.074,2,410774,0.216,49.019,0.319,0.43
45,61,44,Q23442,island,0.158,0.074,2,318514,0.167,44.116,0.287,0.499
46,214,246,Q11060274,print,0.13,0.073,2,70269,0.037,4.76,0.031,0.244
47,133,123,Q12308941,male given name,0.04,0.072,2,139745,0.073,18.216,0.119,0.469
48,294,226,Q277338,pseudogene,0.061,0.07,2,9238,0.005,6.926,0.045,2.699
49,84,107,Q2225692,fourth-level administrative division in Indonesia,0.088,0.069,2,233164,0.122,20.851,0.136,0.322
50,134,106,Q5633421,scientific journal,0.103,0.068,2,136515,0.072,21.144,0.138,0.558
51,91,69,Q5084,hamlet,0.125,0.068,2,210279,0.11,30.893,0.201,0.529
52,171,108,Q9842,primary school,0.165,0.065,2,103204,0.054,20.822,0.136,0.726
53,60,96,Q134556,single,0.103,0.064,2,323560,0.17,22.737,0.148,0.253
54,290,284,Q19389637,biographical article,0.168,0.063,2,12757,0.007,1.22,0.008,0.344
55,27,54,Q215380,musical group,0.087,0.062,2,585266,0.307,36.939,0.241,0.227
56,199,272,Q93184,drawing,0.099,0.061,2,81110,0.043,1.767,0.012,0.078
57,286,267,Q21014462,cell line,0.139,0.06,2,15520,0.008,1.972,0.013,0.457
58,311,294,Q11753321,Wikimedia navigational template,0.048,0.06,2,4238,0.002,0.942,0.006,0.8
60,150,240,Q23038290,fossil taxon,0.111,0.059,2,122374,0.064,5.259,0.034,0.155
59,316,308,Q452237,motion,0.082,0.059,2,3257,0.002,0.435,0.003,0.481
