subgraph_rank,query_rank,query_time_rank,subgraph,subgraph_label,item_percentage,triple_percentage,days_to_recover,query_count,query_count_percent,total_query_time_(hr),query_time_percent
1,8,13,Q13442814,scholarly article,39.794,49.668,1375,1649268,0.746,142.114,0.009
2,30,28,Q6999,astronomical object,8.942,8.75,242,448032,0.203,50.995,0.003
3,1,1,Q5,human,9.986,7.324,203,68659369,31.058,6314.044,0.393
4,9,17,Q4167836,Wikimedia category,5.165,5.85,162,1383343,0.626,95.581,0.006
5,2,4,Q16521,taxon,3.427,2.871,79,56437140,25.529,495.361,0.031
6,3,3,Q101352,family name,0.509,1.546,43,5564173,2.517,640.18,0.04
7,6,9,Q4167410,Wikimedia disambiguation page,1.459,1.374,38,3737550,1.691,223.028,0.014
8,24,18,Q7187,gene,1.273,0.927,26,628916,0.284,93.74,0.006
9,63,74,Q11266439,Wikimedia template,0.898,0.864,24,212438,0.096,13.836,0.001
10,10,14,Q11173,chemical compound,1.302,0.693,19,1307852,0.592,132.714,0.008
11,36,65,Q8054,protein,1.05,0.67,19,349573,0.158,15.83,0.001
12,17,19,Q3305213,painting,0.578,0.432,12,834752,0.378,78.935,0.005
13,151,217,Q13100073,village-level division in China,0.626,0.391,11,56694,0.026,2.025,0.0
14,190,131,Q29654788,Unicode character,0.054,0.381,11,31228,0.014,6.696,0.0
15,4,2,Q11424,film,0.281,0.364,10,4757084,2.152,1613.255,0.1
16,23,21,Q486972,human settlement,0.602,0.302,8,721789,0.327,72.997,0.005
17,179,201,Q815382,meta-analysis,0.117,0.27,7,36321,0.016,2.541,0.0
18,204,191,Q13433827,encyclopedia article,0.551,0.255,7,25705,0.012,3.074,0.0
19,57,62,Q8502,mountain,0.559,0.253,7,227393,0.103,16.35,0.001
20,11,22,Q13406463,Wikimedia list article,0.352,0.252,7,1283160,0.58,72.931,0.005
21,40,10,Q2668072,collection,0.534,0.248,7,312822,0.142,166.258,0.01
22,58,48,Q79007,street,0.62,0.231,6,225188,0.102,20.438,0.001
23,47,51,Q4022,river,0.425,0.219,6,280190,0.127,19.905,0.001
24,194,153,Q30612,clinical trial,0.38,0.21,6,30166,0.014,5.458,0.0
25,25,46,Q532,village,0.292,0.201,6,584789,0.265,20.791,0.001
26,15,29,Q484170,commune of France,0.043,0.18,5,866766,0.392,46.253,0.003
27,271,264,Q17633526,Wikinews article,0.305,0.166,5,6814,0.003,0.898,0.0
28,20,30,Q482994,album,0.287,0.161,4,776845,0.351,36.852,0.002
29,91,69,Q23397,lake,0.278,0.138,4,130027,0.059,14.304,0.001
30,146,114,Q54050,hill,0.348,0.131,4,60216,0.027,8.293,0.001
31,34,41,Q16970,church building,0.226,0.129,4,396936,0.18,25.414,0.002
32,48,31,Q41176,building,0.287,0.125,3,271666,0.123,36.186,0.002
33,126,168,Q56436498,village in India,0.155,0.116,3,77225,0.035,4.719,0.0
35,222,300,Q47150325,calendar day of a given year,0.201,0.108,3,18261,0.008,0.31,0.0
34,5,7,Q4830453,business,0.207,0.108,3,4041395,1.828,342.919,0.021
36,98,108,Q3947,house,0.216,0.098,3,118886,0.054,8.94,0.001
37,33,32,Q3331189,"version, edition, or translation",0.19,0.087,2,410352,0.186,34.078,0.002
38,228,230,Q1348305,erratum,0.085,0.086,2,16251,0.007,1.6,0.0
40,56,170,Q27020041,sports season,0.169,0.081,2,228394,0.103,4.584,0.0
39,155,36,Q18593264,item of collection or exhibition,0.157,0.081,2,51709,0.023,29.93,0.002
41,31,56,Q22808320,Wikimedia human name disambiguation page,0.075,0.078,2,433986,0.196,17.446,0.001
42,27,45,Q7725634,literary work,0.176,0.077,2,468204,0.212,22.208,0.001
43,147,122,Q355304,watercourse,0.186,0.077,2,59873,0.027,7.424,0.0
45,49,50,Q55488,railway station,0.104,0.075,2,258862,0.117,20.216,0.001
46,160,152,Q11060274,print,0.13,0.075,2,46478,0.021,5.467,0.0
44,75,52,Q23442,island,0.159,0.075,2,161433,0.073,19.104,0.001
47,71,73,Q12308941,male given name,0.04,0.072,2,170285,0.077,13.999,0.001
48,299,281,Q277338,pseudogene,0.061,0.071,2,2919,0.001,0.571,0.0
49,37,167,Q2225692,fourth-level administrative division in Indonesia,0.088,0.07,2,344964,0.156,4.735,0.0
50,103,107,Q5633421,scientific journal,0.103,0.069,2,113569,0.051,9.095,0.001
51,142,104,Q5084,hamlet,0.125,0.069,2,63208,0.029,9.485,0.001
52,100,99,Q9842,primary school,0.165,0.066,2,114613,0.052,10.262,0.001
53,32,63,Q134556,single,0.103,0.065,2,431003,0.195,16.089,0.001
54,29,60,Q215380,musical group,0.087,0.063,2,461181,0.209,16.708,0.001
55,258,241,Q19389637,biographical article,0.163,0.063,2,9389,0.004,1.361,0.0
56,229,193,Q93184,drawing,0.099,0.062,2,16123,0.007,2.9,0.0
57,241,238,Q21014462,cell line,0.139,0.061,2,12315,0.006,1.45,0.0
59,78,128,Q23038290,fossil taxon,0.111,0.06,2,156122,0.071,6.936,0.0
58,319,278,Q452237,motion,0.082,0.06,2,1068,0.0,0.618,0.0
60,191,272,Q11753321,Wikimedia navigational template,0.048,0.059,2,31171,0.014,0.709,0.0
62,22,35,Q7889,video game,0.047,0.056,2,741401,0.335,30.307,0.002
61,84,119,Q3558970,village of Poland,0.06,0.056,2,143577,0.065,8.018,0.0
63,12,6,Q5398426,television series,0.062,0.055,2,1206285,0.546,365.671,0.023
64,46,38,Q811979,architectural structure,0.119,0.055,2,282739,0.128,28.29,0.002
