subgraph,query_time_class,count
<http://www.wikidata.org/entity/Q9826>,4_1s_to_10s,9394
<http://www.wikidata.org/entity/Q735428>,4_1s_to_10s,6259
<http://www.wikidata.org/entity/Q17633526>,1_less_10ms,66
<http://www.wikidata.org/entity/Q5>,1_less_10ms,533688
<http://www.wikidata.org/entity/Q174782>,1_less_10ms,680
<http://www.wikidata.org/entity/Q985488>,1_less_10ms,38
<http://www.wikidata.org/entity/Q6451276>,4_1s_to_10s,45
<http://www.wikidata.org/entity/Q3257686>,1_less_10ms,662
<http://www.wikidata.org/entity/Q81505329>,1_less_10ms,37
<http://www.wikidata.org/entity/Q59541917>,1_less_10ms,1696
<http://www.wikidata.org/entity/Q11424>,1_less_10ms,30716
<http://www.wikidata.org/entity/Q19389637>,5_more_10s,63
<http://www.wikidata.org/entity/Q13433827>,3_100ms_to_1s,8794
<http://www.wikidata.org/entity/Q3257686>,3_100ms_to_1s,19549
<http://www.wikidata.org/entity/Q2042028>,3_100ms_to_1s,435
<http://www.wikidata.org/entity/Q26887310>,3_100ms_to_1s,20152
<http://www.wikidata.org/entity/Q13406463>,5_more_10s,2376
<http://www.wikidata.org/entity/Q2085381>,1_less_10ms,608
<http://www.wikidata.org/entity/Q46686>,4_1s_to_10s,138
<http://www.wikidata.org/entity/Q2231510>,5_more_10s,1
<http://www.wikidata.org/entity/Q12317349>,3_100ms_to_1s,3200
<http://www.wikidata.org/entity/Q47461344>,3_100ms_to_1s,158750
<http://www.wikidata.org/entity/Q420927>,3_100ms_to_1s,133
<http://www.wikidata.org/entity/Q41298>,5_more_10s,174
<http://www.wikidata.org/entity/Q11032>,1_less_10ms,1060
<http://www.wikidata.org/entity/Q6999>,2_10ms_to_100ms,380718
<http://www.wikidata.org/entity/Q3950>,3_100ms_to_1s,5530
<http://www.wikidata.org/entity/Q207524>,4_1s_to_10s,2428
<http://www.wikidata.org/entity/Q6999>,3_100ms_to_1s,46334
<http://www.wikidata.org/entity/Q24046192>,2_10ms_to_100ms,4768
<http://www.wikidata.org/entity/Q21191270>,3_100ms_to_1s,38465
<http://www.wikidata.org/entity/Q55659107>,3_100ms_to_1s,288
<http://www.wikidata.org/entity/Q2116450>,1_less_10ms,80
<http://www.wikidata.org/entity/Q46831>,1_less_10ms,571
<http://www.wikidata.org/entity/Q41176>,4_1s_to_10s,21504
<http://www.wikidata.org/entity/Q1266946>,4_1s_to_10s,341
<http://www.wikidata.org/entity/Q1260524>,2_10ms_to_100ms,1562
<http://www.wikidata.org/entity/Q1497375>,5_more_10s,65
<http://www.wikidata.org/entity/Q820477>,2_10ms_to_100ms,11441
<http://www.wikidata.org/entity/Q3305213>,2_10ms_to_100ms,247101
<http://www.wikidata.org/entity/Q27671617>,2_10ms_to_100ms,697
<http://www.wikidata.org/entity/Q44613>,5_more_10s,177
<http://www.wikidata.org/entity/Q484170>,2_10ms_to_100ms,622569
<http://www.wikidata.org/entity/Q358>,3_100ms_to_1s,8647
<http://www.wikidata.org/entity/Q12317349>,5_more_10s,13
<http://www.wikidata.org/entity/Q15647814>,5_more_10s,2
<http://www.wikidata.org/entity/Q34442>,4_1s_to_10s,5620
<http://www.wikidata.org/entity/Q815382>,3_100ms_to_1s,9238
<http://www.wikidata.org/entity/Q13433827>,1_less_10ms,383
<http://www.wikidata.org/entity/Q202444>,2_10ms_to_100ms,156180
<http://www.wikidata.org/entity/Q5783996>,1_less_10ms,42
<http://www.wikidata.org/entity/Q16521>,3_100ms_to_1s,1806302
<http://www.wikidata.org/entity/Q155076>,2_10ms_to_100ms,11851
<http://www.wikidata.org/entity/Q1580166>,3_100ms_to_1s,812
<http://www.wikidata.org/entity/Q783794>,5_more_10s,1051
<http://www.wikidata.org/entity/Q16560>,1_less_10ms,551
<http://www.wikidata.org/entity/Q39614>,2_10ms_to_100ms,61640
<http://www.wikidata.org/entity/Q3950>,5_more_10s,90
<http://www.wikidata.org/entity/Q417841>,3_100ms_to_1s,1282
<http://www.wikidata.org/entity/Q62447>,2_10ms_to_100ms,12298
<http://www.wikidata.org/entity/Q22698>,1_less_10ms,1164
<http://www.wikidata.org/entity/Q56731284>,2_10ms_to_100ms,1150
<http://www.wikidata.org/entity/Q17018380>,1_less_10ms,44
<http://www.wikidata.org/entity/Q23058136>,4_1s_to_10s,773
<http://www.wikidata.org/entity/Q4167410>,3_100ms_to_1s,1745550
<http://www.wikidata.org/entity/Q56436498>,2_10ms_to_100ms,62448
<http://www.wikidata.org/entity/Q773668>,2_10ms_to_100ms,22018
<http://www.wikidata.org/entity/Q26211545>,1_less_10ms,1004
<http://www.wikidata.org/entity/Q43229>,5_more_10s,2218
<http://www.wikidata.org/entity/Q8502>,1_less_10ms,4430
<http://www.wikidata.org/entity/Q2467461>,1_less_10ms,65
<http://www.wikidata.org/entity/Q176799>,3_100ms_to_1s,9323
<http://www.wikidata.org/entity/Q66826848>,2_10ms_to_100ms,2703
<http://www.wikidata.org/entity/Q35127>,5_more_10s,2984
