subgraph,total_query_time_(ms),total_query_time_(hr),percent
<http://www.wikidata.org/entity/Q41176>,233454098,64.848,0.423
<http://www.wikidata.org/entity/Q16887380>,1833169570,509.214,3.318
<http://www.wikidata.org/entity/Q253019>,92362729,25.656,0.167
<http://www.wikidata.org/entity/Q12308941>,65577519,18.216,0.119
<http://www.wikidata.org/entity/Q12317349>,33556049,9.321,0.061
<http://www.wikidata.org/entity/Q97695005>,87933,0.024,0.0
<http://www.wikidata.org/entity/Q5358913>,22503043,6.251,0.041
<http://www.wikidata.org/entity/Q17633526>,2793985,0.776,0.005
<http://www.wikidata.org/entity/Q1238720>,305449,0.085,0.001
<http://www.wikidata.org/entity/Q12284>,91858433,25.516,0.166
<http://www.wikidata.org/entity/Q1248784>,113280193,31.467,0.205
<http://www.wikidata.org/entity/Q1504425>,1358249,0.377,0.002
<http://www.wikidata.org/entity/Q7397>,50399580,14.0,0.091
<http://www.wikidata.org/entity/Q187685>,3125865,0.868,0.006
<http://www.wikidata.org/entity/Q56731284>,1211444,0.337,0.002
<http://www.wikidata.org/entity/Q482>,4810747,1.336,0.009
<http://www.wikidata.org/entity/Q726>,8527911,2.369,0.015
<http://www.wikidata.org/entity/Q277338>,24934079,6.926,0.045
<http://www.wikidata.org/entity/Q4504495>,52015587,14.449,0.094
<http://www.wikidata.org/entity/Q185113>,47081354,13.078,0.085
<http://www.wikidata.org/entity/Q1516079>,38750558,10.764,0.07
<http://www.wikidata.org/entity/Q21191270>,111291574,30.914,0.201
<http://www.wikidata.org/entity/Q42195>,15512555,4.309,0.028
<http://www.wikidata.org/entity/Q4022>,201853503,56.07,0.365
<http://www.wikidata.org/entity/Q15632617>,91670625,25.464,0.166
<http://www.wikidata.org/entity/Q21573182>,42474763,11.799,0.077
<http://www.wikidata.org/entity/Q4421>,49426484,13.73,0.089
<http://www.wikidata.org/entity/Q176799>,99788847,27.719,0.181
<http://www.wikidata.org/entity/Q123705>,82209461,22.836,0.149
<http://www.wikidata.org/entity/Q7187>,747996817,207.777,1.354
<http://www.wikidata.org/entity/Q24354>,80340830,22.317,0.145
<http://www.wikidata.org/entity/Q751876>,70220846,19.506,0.127
<http://www.wikidata.org/entity/Q11446>,39144229,10.873,0.071
<http://www.wikidata.org/entity/Q26895936>,4093184,1.137,0.007
<http://www.wikidata.org/entity/Q33506>,268479111,74.578,0.486
<http://www.wikidata.org/entity/Q23058136>,5460687,1.517,0.01
<http://www.wikidata.org/entity/Q61443690>,54612736,15.17,0.099
<http://www.wikidata.org/entity/Q18663566>,28491446,7.914,0.052
<http://www.wikidata.org/entity/Q1681353>,39171986,10.881,0.071
<http://www.wikidata.org/entity/Q47461344>,190597362,52.944,0.345
<http://www.wikidata.org/entity/Q6881511>,843937820,234.427,1.528
<http://www.wikidata.org/entity/Q3231690>,15888029,4.413,0.029
<http://www.wikidata.org/entity/Q220659>,10356036,2.877,0.019
<http://www.wikidata.org/entity/Q9826>,81099099,22.528,0.147
<http://www.wikidata.org/entity/Q55488>,176467010,49.019,0.319
<http://www.wikidata.org/entity/Q29654788>,115118612,31.977,0.208
<http://www.wikidata.org/entity/Q1529096>,55554494,15.432,0.101
<http://www.wikidata.org/entity/Q50231>,13960071,3.878,0.025
<http://www.wikidata.org/entity/Q67383935>,26248452,7.291,0.048
<http://www.wikidata.org/entity/Q25379>,9762505,2.712,0.018
<http://www.wikidata.org/entity/Q179700>,79593215,22.109,0.144
<http://www.wikidata.org/entity/Q99045339>,330661,0.092,0.001
<http://www.wikidata.org/entity/Q46135307>,6738170,1.872,0.012
<http://www.wikidata.org/entity/Q1539532>,5411945,1.503,0.01
<http://www.wikidata.org/entity/Q23442>,158818310,44.116,0.287
<http://www.wikidata.org/entity/Q11173>,273940733,76.095,0.496
<http://www.wikidata.org/entity/Q59542487>,1133149,0.315,0.002
<http://www.wikidata.org/entity/Q27555384>,3645433,1.013,0.007
<http://www.wikidata.org/entity/Q10870555>,6295564,1.749,0.011
<http://www.wikidata.org/entity/Q14659>,18718986,5.2,0.034
<http://www.wikidata.org/entity/Q4989906>,94406299,26.224,0.171
<http://www.wikidata.org/entity/Q11755880>,32051076,8.903,0.058
<http://www.wikidata.org/entity/Q29023906>,18236925,5.066,0.033
<http://www.wikidata.org/entity/Q41253>,97227662,27.008,0.176
<http://www.wikidata.org/entity/Q47345468>,2879922,0.8,0.005
<http://www.wikidata.org/entity/Q5084>,111215078,30.893,0.201
<http://www.wikidata.org/entity/Q16521>,1729670117,480.464,3.131
<http://www.wikidata.org/entity/Q532>,220329990,61.203,0.399
<http://www.wikidata.org/entity/Q56428020>,118881,0.033,0.0
<http://www.wikidata.org/entity/Q13442814>,946236164,262.843,1.713
<http://www.wikidata.org/entity/Q67035425>,64463,0.018,0.0
<http://www.wikidata.org/entity/Q3331189>,69555167,19.321,0.126
<http://www.wikidata.org/entity/Q2732840>,31977404,8.883,0.058
<http://www.wikidata.org/entity/Q16510064>,5994873,1.665,0.011
<http://www.wikidata.org/entity/Q7889>,134870133,37.464,0.244
