subgraph,count
Q1302249,3145
Q773668,100
Q13406463,64019
Q39816,503
Q4830453,3135951
Q202444,15746
Q476028,2102
Q898273,159
Q16887380,77313
Q13433827,203
Q484170,45824
Q25379,15398
Q47345468,104
Q15243209,127597
Q1081138,1918
Q4421,624
Q18340514,191
Q13442814,33098
Q1539532,122
Q482994,22867
Q2732840,4097
Q3558970,161
Q178561,3616
Q3950,270
Q62447,541
Q7187,159647
Q39594,370
Q47461344,550571
Q815382,1755
Q179049,8484
Q23038290,5847
Q2334719,331
Q169930,1213
Q57733494,68
Q327333,1009
Q1529096,187
Q134556,21564
Q735428,234
Q21573182,103
Q3331189,223258
Q108325,718
Q26887310,80
Q489357,744
Q1260524,200
Q21191270,38805
Q7397,58942
Q571,203915
Q575759,2958
Q235557,646
Q100532807,21
Q5398426,90690
Q61443690,130
Q41298,1696
Q35509,490
Q860861,5896
Q6503489,29
Q852190,228
Q5707594,144
Q29654788,202
Q43229,493686
Q15773317,1751
Q187971,179
Q16560,1317
Q953806,212
Q191067,385
Q4504495,1153
Q124714,354
Q105543609,28753
Q17343829,372
Q1195098,414
Q67383935,48
Q101352,77638
Q965568,107
Q185113,242
Q618779,2928
Q1497375,693
Q452237,280
Q149566,687
Q16917,40376
Q81505329,80
Q176799,53101
Q56428020,37
Q44613,1617
Q93184,1439
Q79007,53448
Q21199,447
Q56731284,41
Q14659,636
Q18663566,100
Q35127,3217
Q11753321,96
Q8502,3430
Q2151232,209
Q187685,243
Q27671617,24
Q2467461,154
Q12284,549
Q59199015,299
Q189004,1255
Q459297,851
Q1580166,97
Q16521,23230747
Q51591359,75
Q2116450,160
Q6453643,315
Q1303167,734
Q22969563,75
Q159334,353
Q34038,654
Q21198342,18796
Q10429085,114
Q23894233,95
Q2042028,161
Q33506,33036
Q7725634,743449
Q820477,355
Q15303838,99
Q10870555,246
Q41253,993
Q17524420,493
Q14860489,68
Q4414033,119
Q253019,896
Q59541917,92
Q1348305,84
Q50386450,61
Q277338,150
Q847017,892
Q30612,1158
Q23442,1157
Q61443650,88
Q783794,155059
Q27555384,41
Q24862,919
Q46831,3560
Q106006703,21
Q27020041,956
Q13406554,2593
Q732577,539520
Q2309609,228
Q6451276,29
Q215380,19782
Q5,4842901
Q7075,7602
Q210272,129095
Q133056,272
Q16970,5804
Q740445,259
Q187223,327
Q104093746,66
Q11424,860188
Q3052382,3126
Q15416,18614
Q24529780,120
Q355304,1656
Q1505023,164
Q4989906,2485
Q16466010,230
Q820655,891
Q61278455,50
Q12317349,105
Q9826,1135
Q207326,930
Q1248784,11659
Q55488,1977
Q1002697,1743
Q99045339,109
Q842402,220
Q166735,225
Q2514025,141
Q6881511,158119
Q67035425,42
Q12308941,4575
Q14350,2163
Q18918145,150
Q811979,185686
Q2668072,135390
Q8436,2663
Q634099,269
Q30198,295
Q16510064,277
Q473972,127490
Q2996394,808
Q2231510,104
Q27686,947
Q39614,1769
Q179700,1793
Q3257686,526
Q23413,13382
Q420927,75
Q585956,668
Q3464665,37273
Q3508250,52
Q5084,461
Q15632617,13246
Q3947,889
Q23058136,40
Q2085381,1599
Q46686,361
Q19692072,95
Q3231690,548
Q26894053,56
Q46190676,89
Q18593264,24125
Q7321974,207
Q96739634,33
Q67015883,58
Q55659167,5060
Q26895936,66
Q11032,4334
Q3957,108711
Q5783996,203
Q9842,1273
Q14204246,49421
Q1134686,153
Q5185279,2410
Q50231,203
Q23925393,123
Q12323,502
Q107103143,20
Q13100073,506
Q86850539,16
Q163740,2369
Q42195,156
Q3914,13332
Q49008,267
Q67015940,58
Q47150325,220
Q61089180,72
Q54050,1468
Q482,583
Q19389637,532
Q21014462,1370
Q220659,844
Q34770,17234
Q12280,788
Q427087,226
Q15647814,66
Q22808320,271
Q17018380,160
Q18127,3093
Q126807,579
Q891723,80881
Q11755880,298
Q11060274,2192
Q59542487,135
Q56436498,161
Q107102664,19
Q18761202,559
Q294414,1074
Q26267864,58
Q310890,150
Q55659107,105
Q34023,346
Q11173,256326
Q207524,204
Q7278,3337
Q839954,4611
Q55850593,190
Q1520033,28
Q7604693,17
Q3305213,33080
Q34442,15163
Q1504425,3267
Q97695005,20
Q20541692,99
Q21672098,126
Q11446,37267
Q7889,12007
Q7604686,33
Q174782,1970
Q1681353,243
Q358,2096
Q4164871,6166
Q47521,376
Q65954115,95
Q726,2707
Q1238720,1224
Q5358913,96
Q106474968,18
Q31855,8553
Q26703203,1043
Q17633526,343
Q15221623,69
Q34763,373
Q814254,433
Q26211545,160
Q737498,616
Q2341654,208
Q5633421,2134
Q838948,183882
Q728937,1273
Q11879590,2188
Q4167836,70133
Q2065736,474
Q24354,1030
Q751876,1033
Q1577547,142
Q46135307,52
Q19860854,274
Q192287,51098
Q40231,1125
Q40080,1307
Q486972,624998
Q131681,376
Q24046192,39
Q160091,336
Q985488,123
Q125191,2632
Q155076,77010
Q4167410,312527
Q65661087,96
Q13417114,491
Q7777570,1822
Q928830,1109
Q15184295,316
Q506240,31150
Q19855165,56
Q28564,5098
Q212198,447
Q1516079,108
Q2225692,304
Q532,5775
Q11266439,22864
Q8054,145515
Q121117,398
Q66826848,28
Q41176,79291
Q3918,24484
Q123705,14507
Q1115575,436
Q2593777,153
Q43460564,278
Q102496,16919
Q4022,3382
Q1266946,314
Q23397,3982
Q22698,3364
Q6999,4950
Q29023906,172
Q417841,148
