subgraph,count
<http://www.wikidata.org/entity/Q41176>,463636
<http://www.wikidata.org/entity/Q16887380>,103100
<http://www.wikidata.org/entity/Q253019>,249320
<http://www.wikidata.org/entity/Q12308941>,139745
<http://www.wikidata.org/entity/Q12317349>,76523
<http://www.wikidata.org/entity/Q97695005>,1409
<http://www.wikidata.org/entity/Q5358913>,20125
<http://www.wikidata.org/entity/Q17633526>,23043
<http://www.wikidata.org/entity/Q1238720>,2778
<http://www.wikidata.org/entity/Q12284>,195712
<http://www.wikidata.org/entity/Q1248784>,317456
<http://www.wikidata.org/entity/Q1504425>,23231
<http://www.wikidata.org/entity/Q7397>,135299
<http://www.wikidata.org/entity/Q187685>,19596
<http://www.wikidata.org/entity/Q56731284>,6415
<http://www.wikidata.org/entity/Q482>,13068
<http://www.wikidata.org/entity/Q726>,34779
<http://www.wikidata.org/entity/Q277338>,9238
<http://www.wikidata.org/entity/Q4504495>,66856
<http://www.wikidata.org/entity/Q185113>,106812
<http://www.wikidata.org/entity/Q1516079>,52094
<http://www.wikidata.org/entity/Q21191270>,335669
<http://www.wikidata.org/entity/Q42195>,7028
<http://www.wikidata.org/entity/Q4022>,520347
<http://www.wikidata.org/entity/Q15632617>,395934
<http://www.wikidata.org/entity/Q21573182>,98288
<http://www.wikidata.org/entity/Q4421>,117440
<http://www.wikidata.org/entity/Q123705>,179712
<http://www.wikidata.org/entity/Q176799>,120155
<http://www.wikidata.org/entity/Q7187>,604364
<http://www.wikidata.org/entity/Q24354>,193647
<http://www.wikidata.org/entity/Q751876>,173857
<http://www.wikidata.org/entity/Q11446>,189639
<http://www.wikidata.org/entity/Q26895936>,45784
<http://www.wikidata.org/entity/Q33506>,409716
<http://www.wikidata.org/entity/Q61443690>,120576
<http://www.wikidata.org/entity/Q23058136>,5879
<http://www.wikidata.org/entity/Q18663566>,336674
<http://www.wikidata.org/entity/Q1681353>,115745
<http://www.wikidata.org/entity/Q47461344>,881216
<http://www.wikidata.org/entity/Q6881511>,1937486
<http://www.wikidata.org/entity/Q3231690>,122839
<http://www.wikidata.org/entity/Q220659>,56300
<http://www.wikidata.org/entity/Q9826>,164948
<http://www.wikidata.org/entity/Q55488>,410774
<http://www.wikidata.org/entity/Q29654788>,172117
<http://www.wikidata.org/entity/Q1529096>,128764
<http://www.wikidata.org/entity/Q50231>,21129
<http://www.wikidata.org/entity/Q67383935>,8993
<http://www.wikidata.org/entity/Q25379>,31882
<http://www.wikidata.org/entity/Q179700>,204490
<http://www.wikidata.org/entity/Q99045339>,5923
<http://www.wikidata.org/entity/Q46135307>,62269
<http://www.wikidata.org/entity/Q1539532>,47858
<http://www.wikidata.org/entity/Q23442>,318514
<http://www.wikidata.org/entity/Q11173>,588469
<http://www.wikidata.org/entity/Q59542487>,3709
<http://www.wikidata.org/entity/Q27555384>,3429
<http://www.wikidata.org/entity/Q10870555>,36294
<http://www.wikidata.org/entity/Q14659>,37108
<http://www.wikidata.org/entity/Q11755880>,72808
<http://www.wikidata.org/entity/Q4989906>,246444
<http://www.wikidata.org/entity/Q29023906>,23137
<http://www.wikidata.org/entity/Q41253>,221523
<http://www.wikidata.org/entity/Q47345468>,20951
<http://www.wikidata.org/entity/Q5084>,210279
<http://www.wikidata.org/entity/Q16521>,27172995
<http://www.wikidata.org/entity/Q532>,872310
<http://www.wikidata.org/entity/Q56428020>,1270
<http://www.wikidata.org/entity/Q13442814>,4944995
<http://www.wikidata.org/entity/Q67035425>,992
<http://www.wikidata.org/entity/Q3331189>,374597
<http://www.wikidata.org/entity/Q2732840>,26204
<http://www.wikidata.org/entity/Q16510064>,63923
<http://www.wikidata.org/entity/Q7889>,753351
<http://www.wikidata.org/entity/Q34442>,440960
<http://www.wikidata.org/entity/Q155076>,160179
<http://www.wikidata.org/entity/Q19692072>,38589
<http://www.wikidata.org/entity/Q15773317>,196112
<http://www.wikidata.org/entity/Q20541692>,67969
<http://www.wikidata.org/entity/Q18340514>,431649
<http://www.wikidata.org/entity/Q484170>,1934902
<http://www.wikidata.org/entity/Q2116450>,82017
<http://www.wikidata.org/entity/Q5185279>,112682
<http://www.wikidata.org/entity/Q21198342>,437382
<http://www.wikidata.org/entity/Q66826848>,1506
<http://www.wikidata.org/entity/Q13406463>,1766742
<http://www.wikidata.org/entity/Q1302249>,5906
<http://www.wikidata.org/entity/Q26267864>,140
<http://www.wikidata.org/entity/Q108325>,265794
<http://www.wikidata.org/entity/Q14860489>,5587
<http://www.wikidata.org/entity/Q737498>,87866
<http://www.wikidata.org/entity/Q842402>,78373
<http://www.wikidata.org/entity/Q40080>,100860
<http://www.wikidata.org/entity/Q4164871>,645434
<http://www.wikidata.org/entity/Q7725634>,1377546
<http://www.wikidata.org/entity/Q187223>,84095
<http://www.wikidata.org/entity/Q27671617>,1141
<http://www.wikidata.org/entity/Q860861>,268369
<http://www.wikidata.org/entity/Q1260524>,4118
<http://www.wikidata.org/entity/Q59199015>,30545
<http://www.wikidata.org/entity/Q24862>,173973
<http://www.wikidata.org/entity/Q47521>,187663
<http://www.wikidata.org/entity/Q65661087>,85302
<http://www.wikidata.org/entity/Q820655>,65257
