subgraph,count
<http://www.wikidata.org/entity/Q41176>,359242
<http://www.wikidata.org/entity/Q16887380>,16162
<http://www.wikidata.org/entity/Q253019>,242642
<http://www.wikidata.org/entity/Q12308941>,116662
<http://www.wikidata.org/entity/Q12317349>,76242
<http://www.wikidata.org/entity/Q97695005>,1384
<http://www.wikidata.org/entity/Q5358913>,12315
<http://www.wikidata.org/entity/Q17633526>,21075
<http://www.wikidata.org/entity/Q1238720>,1537
<http://www.wikidata.org/entity/Q12284>,191519
<http://www.wikidata.org/entity/Q1248784>,198365
<http://www.wikidata.org/entity/Q1504425>,19781
<http://www.wikidata.org/entity/Q7397>,40925
<http://www.wikidata.org/entity/Q187685>,18717
<http://www.wikidata.org/entity/Q56731284>,6018
<http://www.wikidata.org/entity/Q482>,11849
<http://www.wikidata.org/entity/Q726>,16234
<http://www.wikidata.org/entity/Q277338>,8785
<http://www.wikidata.org/entity/Q4504495>,56188
<http://www.wikidata.org/entity/Q185113>,102877
<http://www.wikidata.org/entity/Q1516079>,51490
<http://www.wikidata.org/entity/Q21191270>,228022
<http://www.wikidata.org/entity/Q42195>,6777
<http://www.wikidata.org/entity/Q4022>,484710
<http://www.wikidata.org/entity/Q15632617>,262403
<http://www.wikidata.org/entity/Q21573182>,97982
<http://www.wikidata.org/entity/Q4421>,113859
<http://www.wikidata.org/entity/Q123705>,148658
<http://www.wikidata.org/entity/Q176799>,41631
<http://www.wikidata.org/entity/Q7187>,190767
<http://www.wikidata.org/entity/Q24354>,183748
<http://www.wikidata.org/entity/Q751876>,168002
<http://www.wikidata.org/entity/Q11446>,128449
<http://www.wikidata.org/entity/Q26895936>,34601
<http://www.wikidata.org/entity/Q33506>,350464
<http://www.wikidata.org/entity/Q61443690>,120338
<http://www.wikidata.org/entity/Q23058136>,3558
<http://www.wikidata.org/entity/Q18663566>,320447
<http://www.wikidata.org/entity/Q1681353>,115236
<http://www.wikidata.org/entity/Q47461344>,150662
<http://www.wikidata.org/entity/Q6881511>,1546681
<http://www.wikidata.org/entity/Q3231690>,71592
<http://www.wikidata.org/entity/Q220659>,50512
<http://www.wikidata.org/entity/Q9826>,136673
<http://www.wikidata.org/entity/Q55488>,327743
<http://www.wikidata.org/entity/Q1529096>,122809
