subgraph,count
<http://www.wikidata.org/entity/Q41176>,3665
<http://www.wikidata.org/entity/Q16887380>,557
<http://www.wikidata.org/entity/Q253019>,1403
<http://www.wikidata.org/entity/Q12308941>,4106
<http://www.wikidata.org/entity/Q12317349>,63
<http://www.wikidata.org/entity/Q97695005>,5
<http://www.wikidata.org/entity/Q5358913>,8
<http://www.wikidata.org/entity/Q17633526>,345
<http://www.wikidata.org/entity/Q1238720>,6
<http://www.wikidata.org/entity/Q12284>,792
<http://www.wikidata.org/entity/Q1248784>,2262
<http://www.wikidata.org/entity/Q1504425>,185
<http://www.wikidata.org/entity/Q7397>,10532
<http://www.wikidata.org/entity/Q187685>,115
<http://www.wikidata.org/entity/Q56731284>,2
<http://www.wikidata.org/entity/Q482>,130
<http://www.wikidata.org/entity/Q726>,1025
<http://www.wikidata.org/entity/Q277338>,278
<http://www.wikidata.org/entity/Q4504495>,315
<http://www.wikidata.org/entity/Q185113>,176
<http://www.wikidata.org/entity/Q1516079>,142
<http://www.wikidata.org/entity/Q21191270>,27320
<http://www.wikidata.org/entity/Q42195>,3
<http://www.wikidata.org/entity/Q4022>,4754
<http://www.wikidata.org/entity/Q15632617>,7718
<http://www.wikidata.org/entity/Q21573182>,2
<http://www.wikidata.org/entity/Q4421>,208
<http://www.wikidata.org/entity/Q123705>,1516
<http://www.wikidata.org/entity/Q176799>,1301
<http://www.wikidata.org/entity/Q7187>,241829
<http://www.wikidata.org/entity/Q24354>,949
<http://www.wikidata.org/entity/Q751876>,557
<http://www.wikidata.org/entity/Q11446>,4891
<http://www.wikidata.org/entity/Q26895936>,53
<http://www.wikidata.org/entity/Q33506>,2809
<http://www.wikidata.org/entity/Q23058136>,1713
<http://www.wikidata.org/entity/Q61443690>,97
<http://www.wikidata.org/entity/Q18663566>,125
<http://www.wikidata.org/entity/Q1681353>,208
<http://www.wikidata.org/entity/Q47461344>,5981
<http://www.wikidata.org/entity/Q6881511>,135624
<http://www.wikidata.org/entity/Q3231690>,2475
<http://www.wikidata.org/entity/Q220659>,140
<http://www.wikidata.org/entity/Q9826>,12237
<http://www.wikidata.org/entity/Q55488>,3208
<http://www.wikidata.org/entity/Q29654788>,145789
<http://www.wikidata.org/entity/Q1529096>,5257
<http://www.wikidata.org/entity/Q50231>,2
<http://www.wikidata.org/entity/Q67383935>,75
<http://www.wikidata.org/entity/Q25379>,37
<http://www.wikidata.org/entity/Q179700>,219
<http://www.wikidata.org/entity/Q99045339>,1
<http://www.wikidata.org/entity/Q46135307>,10
<http://www.wikidata.org/entity/Q1539532>,30
<http://www.wikidata.org/entity/Q23442>,2882
<http://www.wikidata.org/entity/Q11173>,26605
<http://www.wikidata.org/entity/Q59542487>,46
<http://www.wikidata.org/entity/Q27555384>,1675
<http://www.wikidata.org/entity/Q10870555>,245
<http://www.wikidata.org/entity/Q14659>,47
<http://www.wikidata.org/entity/Q4989906>,995
<http://www.wikidata.org/entity/Q11755880>,19
<http://www.wikidata.org/entity/Q29023906>,168
<http://www.wikidata.org/entity/Q41253>,567
<http://www.wikidata.org/entity/Q47345468>,16
<http://www.wikidata.org/entity/Q5084>,1797
<http://www.wikidata.org/entity/Q16521>,825375
<http://www.wikidata.org/entity/Q532>,27767
<http://www.wikidata.org/entity/Q56428020>,14
<http://www.wikidata.org/entity/Q13442814>,754588
<http://www.wikidata.org/entity/Q67035425>,7
<http://www.wikidata.org/entity/Q3331189>,72707
<http://www.wikidata.org/entity/Q2732840>,5
<http://www.wikidata.org/entity/Q16510064>,68
<http://www.wikidata.org/entity/Q7889>,19283
<http://www.wikidata.org/entity/Q34442>,1039
<http://www.wikidata.org/entity/Q155076>,2153
<http://www.wikidata.org/entity/Q19692072>,56
<http://www.wikidata.org/entity/Q15773317>,3183
<http://www.wikidata.org/entity/Q20541692>,40
<http://www.wikidata.org/entity/Q18340514>,8436
<http://www.wikidata.org/entity/Q484170>,19001
<http://www.wikidata.org/entity/Q2116450>,41
<http://www.wikidata.org/entity/Q5185279>,20656
<http://www.wikidata.org/entity/Q21198342>,6280
<http://www.wikidata.org/entity/Q66826848>,28
<http://www.wikidata.org/entity/Q13406463>,261785
<http://www.wikidata.org/entity/Q1302249>,1753
<http://www.wikidata.org/entity/Q14860489>,76
<http://www.wikidata.org/entity/Q108325>,561
<http://www.wikidata.org/entity/Q737498>,32962
<http://www.wikidata.org/entity/Q842402>,30
<http://www.wikidata.org/entity/Q40080>,86
<http://www.wikidata.org/entity/Q4164871>,20413
<http://www.wikidata.org/entity/Q7725634>,17304
<http://www.wikidata.org/entity/Q187223>,20
<http://www.wikidata.org/entity/Q27671617>,521
<http://www.wikidata.org/entity/Q860861>,1034
<http://www.wikidata.org/entity/Q1260524>,605
<http://www.wikidata.org/entity/Q59199015>,1387
<http://www.wikidata.org/entity/Q24862>,19797
<http://www.wikidata.org/entity/Q47521>,395
<http://www.wikidata.org/entity/Q65661087>,8
<http://www.wikidata.org/entity/Q820655>,418
<http://www.wikidata.org/entity/Q3957>,5059
<http://www.wikidata.org/entity/Q81505329>,19
<http://www.wikidata.org/entity/Q47150325>,729
<http://www.wikidata.org/entity/Q46190676>,659
<http://www.wikidata.org/entity/Q728937>,323
<http://www.wikidata.org/entity/Q13100073>,146
<http://www.wikidata.org/entity/Q15416>,27524
<http://www.wikidata.org/entity/Q61443650>,13
<http://www.wikidata.org/entity/Q7075>,1288
<http://www.wikidata.org/entity/Q5398426>,319137
<http://www.wikidata.org/entity/Q459297>,89
<http://www.wikidata.org/entity/Q39594>,2194
<http://www.wikidata.org/entity/Q121117>,86
<http://www.wikidata.org/entity/Q476028>,5813
<http://www.wikidata.org/entity/Q86850539>,435365
<http://www.wikidata.org/entity/Q207326>,127
<http://www.wikidata.org/entity/Q61089180>,100
<http://www.wikidata.org/entity/Q2042028>,62
<http://www.wikidata.org/entity/Q210272>,116
<http://www.wikidata.org/entity/Q19860854>,133
<http://www.wikidata.org/entity/Q482994>,187194
<http://www.wikidata.org/entity/Q16917>,4121
<http://www.wikidata.org/entity/Q124714>,463
<http://www.wikidata.org/entity/Q126807>,194
<http://www.wikidata.org/entity/Q23038290>,30572
<http://www.wikidata.org/entity/Q202444>,619
<http://www.wikidata.org/entity/Q506240>,47565
<http://www.wikidata.org/entity/Q159334>,1337
<http://www.wikidata.org/entity/Q133056>,276
<http://www.wikidata.org/entity/Q3052382>,16
<http://www.wikidata.org/entity/Q34038>,351
