subgraph,count
<http://www.wikidata.org/entity/Q41176>,320131
<http://www.wikidata.org/entity/Q16887380>,11341
<http://www.wikidata.org/entity/Q253019>,117742
<http://www.wikidata.org/entity/Q12308941>,20407
<http://www.wikidata.org/entity/Q12317349>,35765
<http://www.wikidata.org/entity/Q97695005>,333
<http://www.wikidata.org/entity/Q5358913>,19195
<http://www.wikidata.org/entity/Q17633526>,20700
<http://www.wikidata.org/entity/Q1238720>,554
<http://www.wikidata.org/entity/Q12284>,166849
<http://www.wikidata.org/entity/Q1248784>,213205
<http://www.wikidata.org/entity/Q1504425>,684
<http://www.wikidata.org/entity/Q7397>,40105
<http://www.wikidata.org/entity/Q187685>,14573
<http://www.wikidata.org/entity/Q56731284>,6204
<http://www.wikidata.org/entity/Q482>,11634
<http://www.wikidata.org/entity/Q726>,21468
<http://www.wikidata.org/entity/Q277338>,7517
<http://www.wikidata.org/entity/Q4504495>,41439
<http://www.wikidata.org/entity/Q185113>,86336
<http://www.wikidata.org/entity/Q1516079>,38486
<http://www.wikidata.org/entity/Q21191270>,65398
<http://www.wikidata.org/entity/Q42195>,6548
<http://www.wikidata.org/entity/Q4022>,365292
<http://www.wikidata.org/entity/Q15632617>,172250
<http://www.wikidata.org/entity/Q21573182>,95243
<http://www.wikidata.org/entity/Q4421>,94719
<http://www.wikidata.org/entity/Q123705>,76240
<http://www.wikidata.org/entity/Q176799>,48050
<http://www.wikidata.org/entity/Q7187>,42162
<http://www.wikidata.org/entity/Q24354>,115078
<http://www.wikidata.org/entity/Q751876>,129963
<http://www.wikidata.org/entity/Q11446>,108961
<http://www.wikidata.org/entity/Q26895936>,45522
<http://www.wikidata.org/entity/Q61443690>,120468
<http://www.wikidata.org/entity/Q33506>,255335
<http://www.wikidata.org/entity/Q23058136>,1551
<http://www.wikidata.org/entity/Q18663566>,144161
<http://www.wikidata.org/entity/Q1681353>,113056
<http://www.wikidata.org/entity/Q47461344>,218051
<http://www.wikidata.org/entity/Q6881511>,1026009
<http://www.wikidata.org/entity/Q3231690>,92196
<http://www.wikidata.org/entity/Q220659>,49610
<http://www.wikidata.org/entity/Q9826>,43313
<http://www.wikidata.org/entity/Q55488>,311290
<http://www.wikidata.org/entity/Q1529096>,101990
<http://www.wikidata.org/entity/Q29654788>,23567
<http://www.wikidata.org/entity/Q50231>,4104
<http://www.wikidata.org/entity/Q67383935>,8416
<http://www.wikidata.org/entity/Q25379>,10799
<http://www.wikidata.org/entity/Q179700>,178809
<http://www.wikidata.org/entity/Q99045339>,5904
<http://www.wikidata.org/entity/Q46135307>,47556
<http://www.wikidata.org/entity/Q1539532>,44770
<http://www.wikidata.org/entity/Q23442>,231719
<http://www.wikidata.org/entity/Q11173>,175205
<http://www.wikidata.org/entity/Q59542487>,1095
<http://www.wikidata.org/entity/Q27555384>,1132
<http://www.wikidata.org/entity/Q10870555>,21809
<http://www.wikidata.org/entity/Q14659>,15630
<http://www.wikidata.org/entity/Q4989906>,189086
<http://www.wikidata.org/entity/Q11755880>,58612
<http://www.wikidata.org/entity/Q29023906>,21827
<http://www.wikidata.org/entity/Q41253>,195053
<http://www.wikidata.org/entity/Q47345468>,11313
<http://www.wikidata.org/entity/Q5084>,126221
<http://www.wikidata.org/entity/Q16521>,24510707
<http://www.wikidata.org/entity/Q532>,378158
<http://www.wikidata.org/entity/Q56428020>,1059
<http://www.wikidata.org/entity/Q13442814>,3692386
<http://www.wikidata.org/entity/Q67035425>,270
<http://www.wikidata.org/entity/Q3331189>,255212
<http://www.wikidata.org/entity/Q2732840>,20088
<http://www.wikidata.org/entity/Q16510064>,49102
<http://www.wikidata.org/entity/Q7889>,599033
<http://www.wikidata.org/entity/Q34442>,326630
<http://www.wikidata.org/entity/Q155076>,78804
<http://www.wikidata.org/entity/Q19692072>,35865
<http://www.wikidata.org/entity/Q20541692>,61335
<http://www.wikidata.org/entity/Q15773317>,86131
<http://www.wikidata.org/entity/Q18340514>,129032
<http://www.wikidata.org/entity/Q484170>,161361
<http://www.wikidata.org/entity/Q2116450>,78532
<http://www.wikidata.org/entity/Q5185279>,73991
<http://www.wikidata.org/entity/Q21198342>,381963
<http://www.wikidata.org/entity/Q66826848>,436
<http://www.wikidata.org/entity/Q13406463>,1196628
<http://www.wikidata.org/entity/Q1302249>,3500
<http://www.wikidata.org/entity/Q26267864>,47
<http://www.wikidata.org/entity/Q108325>,234146
<http://www.wikidata.org/entity/Q14860489>,282
<http://www.wikidata.org/entity/Q737498>,9774
<http://www.wikidata.org/entity/Q842402>,67858
<http://www.wikidata.org/entity/Q40080>,81415
<http://www.wikidata.org/entity/Q4164871>,48427
<http://www.wikidata.org/entity/Q7725634>,462298
<http://www.wikidata.org/entity/Q187223>,75073
<http://www.wikidata.org/entity/Q27671617>,462
<http://www.wikidata.org/entity/Q860861>,213731
<http://www.wikidata.org/entity/Q1260524>,2730
<http://www.wikidata.org/entity/Q59199015>,3764
<http://www.wikidata.org/entity/Q24862>,119748
<http://www.wikidata.org/entity/Q47521>,169047
<http://www.wikidata.org/entity/Q65661087>,57379
<http://www.wikidata.org/entity/Q820655>,56721
<http://www.wikidata.org/entity/Q3957>,65637
<http://www.wikidata.org/entity/Q81505329>,531
<http://www.wikidata.org/entity/Q47150325>,84538
<http://www.wikidata.org/entity/Q46190676>,20353
<http://www.wikidata.org/entity/Q728937>,60999
<http://www.wikidata.org/entity/Q13100073>,2395
<http://www.wikidata.org/entity/Q15416>,240342
<http://www.wikidata.org/entity/Q61443650>,82891
<http://www.wikidata.org/entity/Q7075>,130350
<http://www.wikidata.org/entity/Q5398426>,704063
<http://www.wikidata.org/entity/Q459297>,59824
<http://www.wikidata.org/entity/Q39594>,136479
<http://www.wikidata.org/entity/Q121117>,15318
<http://www.wikidata.org/entity/Q476028>,84792
<http://www.wikidata.org/entity/Q86850539>,727
<http://www.wikidata.org/entity/Q207326>,92763
<http://www.wikidata.org/entity/Q61089180>,369
<http://www.wikidata.org/entity/Q2042028>,78790
<http://www.wikidata.org/entity/Q210272>,85736
<http://www.wikidata.org/entity/Q19860854>,123123
<http://www.wikidata.org/entity/Q482994>,360838
<http://www.wikidata.org/entity/Q16917>,87537
<http://www.wikidata.org/entity/Q124714>,139591
<http://www.wikidata.org/entity/Q126807>,21614
<http://www.wikidata.org/entity/Q23038290>,74113
<http://www.wikidata.org/entity/Q202444>,4832
<http://www.wikidata.org/entity/Q506240>,139490
<http://www.wikidata.org/entity/Q159334>,34549
<http://www.wikidata.org/entity/Q133056>,93472
<http://www.wikidata.org/entity/Q3052382>,12163
<http://www.wikidata.org/entity/Q34038>,77952
<http://www.wikidata.org/entity/Q9842>,86673
<http://www.wikidata.org/entity/Q174782>,96677
<http://www.wikidata.org/entity/Q3914>,69379
<http://www.wikidata.org/entity/Q13406554>,22768
<http://www.wikidata.org/entity/Q24529780>,40056
<http://www.wikidata.org/entity/Q1303167>,66294
<http://www.wikidata.org/entity/Q2514025>,32664
<http://www.wikidata.org/entity/Q618779>,64092
<http://www.wikidata.org/entity/Q814254>,11245
<http://www.wikidata.org/entity/Q732577>,564788
<http://www.wikidata.org/entity/Q49008>,3861
<http://www.wikidata.org/entity/Q1266946>,1652
<http://www.wikidata.org/entity/Q2668072>,165993
<http://www.wikidata.org/entity/Q11060274>,62688
<http://www.wikidata.org/entity/Q19389637>,3737
<http://www.wikidata.org/entity/Q18761202>,11856
<http://www.wikidata.org/entity/Q7321974>,40936
<http://www.wikidata.org/entity/Q14204246>,71618
<http://www.wikidata.org/entity/Q5633421>,23192
