numSubgraph,numQueries
117,85
62,186
8,112922
38,320
39,278
49,196
26,718
96,297
33,381
40,261
11,50341
125,9
94,308
71,180
35,310
46,191
20,4141
111,179
87,236
2,12464811
12,38102
43,291
31,779
1,142507736
41,238
44,221
100,332
128,2
68,179
58,146
54,165
55,198
313,3
93,390
45,252
85,346
63,265
91,325
27,567
121,48
74,235
82,292
120,58
75,227
95,342
50,211
181,3
10,68871
16,15900
315,2
110,249
7,188012
53,193
116,126
333,1
104,364
19,4964
341,25
79,252
92,303
21,2524
98,355
124,16
115,115
76,242
101,402
107,279
3,1767253
109,223
126,4
5,364445
14,24003
23,1445
81,277
77,247
18,6729
60,164
83,285
51,178
59,147
66,194
84,298
34,285
102,382
103,308
119,82
29,399
105,335
4,586173
108,272
70,201
15,17935
258,1
17,13136
88,299
22,1923
142,1
130,2
113,164
30,344
80,219
37,318
56,198
13,34075
112,118
123,35
28,500
106,254
42,327
127,4
69,170
36,311
114,134
47,189
52,187
99,378
86,295
78,236
118,79
64,150
6,221485
32,263
24,1134
129,1
65,153
152,1
90,291
72,228
9,102524
61,174
67,188
133,2
48,195
122,34
73,240
57,203
89,282
25,880
97,396
