subgraph,ua_count
<http://www.wikidata.org/entity/Q41176>,1857
<http://www.wikidata.org/entity/Q16887380>,268
<http://www.wikidata.org/entity/Q253019>,479
<http://www.wikidata.org/entity/Q12308941>,609
<http://www.wikidata.org/entity/Q12317349>,97
<http://www.wikidata.org/entity/Q97695005>,15
<http://www.wikidata.org/entity/Q5358913>,42
<http://www.wikidata.org/entity/Q17633526>,153
<http://www.wikidata.org/entity/Q1238720>,60
<http://www.wikidata.org/entity/Q12284>,191
<http://www.wikidata.org/entity/Q1248784>,2459
<http://www.wikidata.org/entity/Q1504425>,61
<http://www.wikidata.org/entity/Q7397>,742
<http://www.wikidata.org/entity/Q187685>,107
<http://www.wikidata.org/entity/Q56731284>,37
<http://www.wikidata.org/entity/Q482>,140
<http://www.wikidata.org/entity/Q726>,258
<http://www.wikidata.org/entity/Q277338>,264
<http://www.wikidata.org/entity/Q4504495>,173
<http://www.wikidata.org/entity/Q185113>,180
<http://www.wikidata.org/entity/Q1516079>,115
<http://www.wikidata.org/entity/Q21191270>,748
<http://www.wikidata.org/entity/Q42195>,58
<http://www.wikidata.org/entity/Q4022>,606
<http://www.wikidata.org/entity/Q15632617>,671
<http://www.wikidata.org/entity/Q21573182>,54
<http://www.wikidata.org/entity/Q4421>,232
<http://www.wikidata.org/entity/Q123705>,540
<http://www.wikidata.org/entity/Q176799>,248
<http://www.wikidata.org/entity/Q7187>,187029
<http://www.wikidata.org/entity/Q24354>,422
<http://www.wikidata.org/entity/Q751876>,303
<http://www.wikidata.org/entity/Q11446>,474
<http://www.wikidata.org/entity/Q26895936>,42
<http://www.wikidata.org/entity/Q33506>,909
<http://www.wikidata.org/entity/Q23058136>,87
<http://www.wikidata.org/entity/Q61443690>,38
<http://www.wikidata.org/entity/Q18663566>,196
<http://www.wikidata.org/entity/Q1681353>,70
<http://www.wikidata.org/entity/Q47461344>,1544
<http://www.wikidata.org/entity/Q6881511>,2014
<http://www.wikidata.org/entity/Q3231690>,340
<http://www.wikidata.org/entity/Q220659>,126
<http://www.wikidata.org/entity/Q9826>,255
<http://www.wikidata.org/entity/Q55488>,583
<http://www.wikidata.org/entity/Q29654788>,1601
<http://www.wikidata.org/entity/Q1529096>,182
<http://www.wikidata.org/entity/Q50231>,151
<http://www.wikidata.org/entity/Q67383935>,46
<http://www.wikidata.org/entity/Q25379>,589
<http://www.wikidata.org/entity/Q179700>,225
<http://www.wikidata.org/entity/Q99045339>,20
<http://www.wikidata.org/entity/Q46135307>,56
<http://www.wikidata.org/entity/Q1539532>,63
<http://www.wikidata.org/entity/Q23442>,809
<http://www.wikidata.org/entity/Q11173>,1341
<http://www.wikidata.org/entity/Q59542487>,84
