item,pred,uri,qid,literal,count,percent,human_percent
0,0,1,1,0,304,0.0,0.0
0,1,1,1,1,135684,0.071,0.223
1,1,1,0,0,12215379,6.41,20.068
1,0,1,0,0,7253287,3.806,11.916
1,0,1,1,1,5,0.0,0.0
0,1,0,1,0,1694236,0.889,2.783
0,1,0,1,1,56971,0.03,0.094
0,0,1,0,1,702,0.0,0.001
1,0,1,0,1,3451,0.002,0.006
0,1,1,0,1,3,0.0,0.0
1,1,0,1,0,598261,0.314,0.983
0,1,0,0,1,407610,0.214,0.67
1,0,1,1,0,76736,0.04,0.126
0,0,1,0,0,2512142,1.318,4.127
1,1,0,0,0,3137130,1.646,5.154
1,1,1,1,1,437,0.0,0.001
0,0,0,0,1,1775347,0.932,2.917
1,1,0,1,1,393,0.0,0.001
0,0,0,1,1,350982,0.184,0.577
1,0,0,1,1,59,0.0,0.0
0,1,1,1,0,311340,0.163,0.511
1,1,1,1,0,508706,0.267,0.836
1,1,1,0,1,17,0.0,0.0
1,1,0,0,1,93,0.0,0.0
0,1,1,0,0,226959,0.119,0.373
1,0,0,0,1,2844,0.001,0.005
0,0,0,1,0,930137,0.488,1.528
1,0,0,1,0,178650,0.094,0.294
1,0,0,0,0,10705360,5.618,17.588
0,1,0,0,0,17785347,9.333,29.219
