item,count,itemLabel
Q22686,19759,Donald Trump
Q1747297,19247,Robert Oliveri
Q509260,19193,John Zimmerman
Q6499255,19135,Laura Nader
Q209394,19101,Michael Wood
Q937,19098,Albert Einstein
Q7340648,19026,Rob Whitehurst
Q52354375,18970,Irene Aparicio
Q6232209,18964,John F. Cassidy
Q22986632,18954,Lori Lynn Ross
Q3976229,18953,Stuart Lancaster
Q106466114,18947,Gary Michael Ritchie
Q86599148,18926,James Spicer
Q87653156,18919,David A. Cook
Q16015822,18917,Jerry Fleck
Q7179427,18914,Petur Hliddal
Q19878977,18902,Jackie Carson
Q99859767,18898,Kathy McCarty
Q90307934,18893,Ann Harris
Q1070508,18834,Cheryl Carasik
Q9682,18816,Elizabeth II
Q6279,18277,Joe Biden
Q64840837,18161,Dylan Arnold
Q76,18035,Barack Obama
Q107626126,18010,Mauricio Lara
Q24702856,18008,Christopher Sean
Q5389008,17961,Erika Ringor
Q87807134,17921,Chris O'Shea
Q6499614,17659,Lauran Paine
Q41421,17361,Michael Jordan
Q207,16768,George W. Bush
Q1339,16454,Johann Sebastian Bach
Q5383,16299,David Bowie
Q12037957,16263,Miroslav Petříček
Q352,16129,Adolf Hitler
Q989,15962,John Paul II
Q2042,15927,Charles de Gaulle
Q1699682,15924,John Creasey
Q353758,15781,Jesús Franco
Q1124,15716,Bill Clinton
Q42,15512,Douglas Adams
Q33550,14929,Frederick II of Prussia
Q692,14811,William Shakespeare
Q23505,14770,George H. W. Bush
Q78491,14758,Stefan Zweig
Q2643,14594,George Harrison
Q1043,14568,Carl Linnaeus
Q3044,14480,Charlemagne
Q855,14453,Joseph Stalin
Q517,14388,Napoleon
Q9696,14212,John F. Kennedy
Q392,14192,Bob Dylan
Q2677,14087,Wilhelm II
Q34969,14083,Benjamin Franklin
Q9960,13911,Ronald Reagan
Q11812,13834,Thomas Jefferson
Q91,13713,Abraham Lincoln
Q33866,13708,Theodore Roosevelt
Q10520,13605,David Beckham
Q37594,13593,William the Conqueror
Q2599,13586,Paul McCartney
Q43274,13546,"Charles, Prince of Wales"
Q280856,13523,George VI
Q8027,13332,Martin Luther King Jr.
Q7742,13316,Louis XIV of France
Q39829,13312,Stephen King
Q5593,13297,Pablo Picasso
Q1394,13286,Vladimir Lenin
Q19878,13269,Muammar Gaddafi
Q19943,13266,Juan Carlos I
Q7724,13204,August Strindberg
Q9588,13204,Richard Nixon
Q38370,13167,Henry VIII of England
Q6527,13163,Jean-Jacques Rousseau
Q37577,13135,John Calvin
Q2831,13117,Michael Jackson
Q8409,13108,Alexander the Great
Q7186,13107,Marie Curie
Q32500,13102,"Charles V, Holy Roman Emperor"
Q23873,13083,John XXIII
Q40787,13055,Nicholas II of Russia
Q11256,13052,Fidel Castro
Q9161,13025,Josip Broz Tito
Q5686,13024,Charles Dickens
Q9364,13024,Jean-Paul Sartre
Q1779,13014,Louis Armstrong
Q180589,13011,Boris Johnson
Q5599,12953,Peter Paul Rubens
Q80976,12947,"Prince Philip, Duke of Edinburgh"
Q34417,12933,Philip II of Spain
Q9439,12918,Queen Victoria
Q24829,12914,Orson Welles
Q5879,12864,Johann Wolfgang von Goethe
Q450675,12836,Francis
Q8007,12835,Franklin Delano Roosevelt
Q192,12786,David Cameron
Q23685,12777,Jimmy Carter
Q6294,12774,Hillary Clinton
Q81506,12767,Charles I of England
Q9049,12740,Noam Chomsky
Q7732,12736,Louis XVI of France
Q9353,12714,John Locke
Q5809,12685,Che Guevara
Q7747,12676,Vladimir Putin
Q1035,12671,Charles Darwin
Q9916,12670,Dwight D. Eisenhower
Q1744,12667,Madonna
Q169566,12663,H. P. Lovecraft
Q41264,12659,Johannes Vermeer
Q22670,12641,Friedrich Schiller
Q33760,12624,Bertrand Russell
Q9582,12614,Gerald Ford
Q34296,12608,Woodrow Wilson
Q8023,12588,Nelson Mandela
Q2494,12587,Benedict XVI
Q5284,12558,Bill Gates
Q11806,12506,John Adams
Q7416,12501,Margaret Thatcher
Q165219,12486,Robert Downey Jr.
Q9438,12473,Thomas Aquinas
Q2808,12470,Elton John
Q2263,12470,Tom Hanks
Q303,12464,Elvis Presley
Q1203,12449,John Lennon
Q23,12440,George Washington
Q23810,12434,Alfred Nobel
Q9068,12428,Voltaire
Q868,12425,Aristotle
Q23559,12421,Benito Mussolini
Q43203,12398,Clint Eastwood
Q9047,12365,Gottfried Wilhelm Leibniz
Q11571,12352,Cristiano Ronaldo
Q44519,12349,Selma Lagerlöf
Q43247,12317,Ingrid Bergman
Q9640,12316,Lyndon B. Johnson
Q7542,12308,Prince
Q40531,12291,John Wayne
Q1058,12263,Narendra Modi
Q8877,12262,Steven Spielberg
Q55767,12260,Astrid Lindgren
Q36949,12249,Robert De Niro
Q47365,12232,Marie Antoinette
Q37278,12198,John Paul I
Q317521,12182,Elon Musk
Q762,12177,Leonardo da Vinci
Q19848,12166,Lady Gaga
Q11816,12154,John Quincy Adams
Q3335,12141,George Orwell
Q80,12132,Tim Berners-Lee
Q5582,12127,Vincent van Gogh
Q8018,12124,Augustine of Hippo
Q42493,12120,Katy Perry
Q40912,12115,Frank Sinatra
Q7546,12108,Ingmar Bergman
Q7322,12107,Christopher Columbus
Q5604,12102,Frank Lloyd Wright
Q8016,12091,Winston Churchill
Q10648,12047,Gordon Brown
Q39259,12022,Recep Tayyip Erdoğan
Q35332,12014,Brad Pitt
Q535,12005,Victor Hugo
Q82778,12000,Pliny the Elder
Q16975,11962,Pope Paul VI
Q567,11960,Angela Merkel
Q17455,11956,John von Neumann
Q36153,11953,Beyoncé
