uri,count,itemLabel
Q3391743,165540,visual artist
Q1925963,38897,graphic artist
Q28389,33718,screenwriter
https://en.wikipedia.org/wiki/Lee_Child,33179,
https://en.wikipedia.org/wiki/Emily_Wilson_(journalist),30837,
https://en.wikipedia.org/wiki/M.I.A._(rapper),29388,
Q10800557,29318,film actor
https://en.wikipedia.org/wiki/Shannon_Lee,29216,
https://en.wikipedia.org/wiki/Eugene_Gordon_Lee,29205,
https://en.wikipedia.org/wiki/Lee_Childs,29203,
https://en.wikipedia.org/wiki/Emily_Wilson_(classicist),26864,
https://en.wikipedia.org/wiki/Emily_Wilson_(actress),26862,
https://en.wikipedia.org/wiki/Adhir_Kalyan,26862,
https://en.wikipedia.org/wiki/Emily_Wilson_(footballer),26861,
https://en.wikipedia.org/wiki/Emily_Wilson_Walker,26861,
Q10798782,24679,television actor
Q185351,22130,jurist
Q1650915,21206,researcher
Q2374149,20385,botanist
Q250867,20314,Catholic priest
Q10873124,19832,chess player
Q12299841,19414,cricketer
Q14373094,19396,rugby league player
Q509260,19193,John Zimmerman
Q6499255,19135,Laura Nader
Q7340648,19026,Rob Whitehurst
Q6232209,18964,John F. Cassidy
Q16015822,18917,Jerry Fleck
Q107626126,18010,Mauricio Lara
Q6499614,17659,Lauran Paine
https://en.wikipedia.org/wiki/David_Lee_Child,9940,
Q5208,9533,Huang Xianfan
Q11114478,7682,Dingfen Liang
Q1695795,7597,Johann Peter Lyser
Q4925477,7299,John
Q16031357,6506,John Kinyon
https://en.wikipedia.org/wiki/Emily_VanCamp,6210,
https://en.wikipedia.org/wiki/Andrew_Grant_(writer),5762,
Q10270643,5559,Eduardo Collen Leite
Q63069732,5257,Manoel Raimundo Soares
Q105947904,5242,John David Griffith Davies
Q16028039,5230,W. Howard Baker
Q2853642,5229,Antoine Balthazar Joachim d'André
Q28120451,5176,Charles Ellis Johnson
Q5949768,5091,Juan Gil Fernández
Q3284965,5067,Mame Younousse Dieng
Q6131053,5030,"James Carnegie, 9th Earl of Southesk"
Q55836165,5003,Jean-François de Los-Rios
Q1874282,4933,Ludwig Christian Lichtenberg
Q3260434,4929,Louis Charles de Machault d'Arnouville
Q1448520,4927,Franz Petri
Q5873478,4915,Gabriel Moreno Carrillo
Q1504848,4910,George Julius Engelmann
Q56176570,4910,Thomas Edwards
Q3187279,4906,João Ameal
Q21684999,4905,Jean Paul de Rome d'Ardène
Q14743826,4889,Josef Maria Ritz
Q2839187,4886,Antonio Sánchez Moguel
Q85098678,4884,Jean-Pierre Kaiser
Q21027594,4883,Julie Rocheleau
Q19629204,4880,Philippe Papin
Q3132181,4870,Henri Woollett
Q3336611,4869,Nathalie Jomard
Q63866129,4864,David Spivak
Q3667489,4858,Clara Gonzaga
Q1467474,4858,Fritz Weiss
Q8066536,4857,Zara Mints
Q6371738,4856,Karl Egil Aubert
Q94276,4855,Martianus Hiberniensis
Q3557077,4854,Victor-Donatien de Musset-Pathay
Q107224705,4854,Joseph Meicock
Q5296413,4850,Donna Matthews
Q3092285,4848,Félicie d'Ayzac
Q1167286,4844,Gerhard Schmidt
Q104791774,4826,Richard Moody
Q101878,4825,Friedrich Griese
Q3105624,4824,Gilbert Bourdin
Q787717,4824,Pierre Lacoste
Q20538968,4822,Jean-Jérôme Imbault
Q3384359,4822,Pierre Chanlaine
Q1380845,4821,Ivan Wyschnegradsky
Q19880951,4820,Janet L. Jacobs
Q2939592,4819,Carmen Campagne
Q6688278,4816,Louis Till
Q6520707,4812,Leland B. Harrison
Q16116065,4810,Ivan Golub
Q3185262,4804,Joseph Louis Andlauer
Q3187784,4804,Juan Rozoff
Q603926,4800,Antonio Orbe
Q464072,4797,Elisabeth Haich
Q55950558,4796,Juan Agustín Morfi
Q3749875,4796,Francesco De Grandi
Q27058670,4788,Heinrich Moritz Dolch
