item,pred,uri,qid,literal,count,percent,taxon_percent
0,0,1,1,0,22955853,12.046,84.48
0,1,1,1,1,24,0.0,0.0
1,1,1,0,0,132462,0.07,0.487
1,0,1,0,0,501232,0.263,1.845
0,0,1,0,1,13104,0.007,0.048
1,0,1,0,1,9026,0.005,0.033
0,0,1,1,1,233109,0.122,0.858
0,1,0,0,1,60111,0.032,0.221
1,0,1,1,0,30652,0.016,0.113
0,0,1,0,0,624147,0.328,2.297
1,1,0,0,0,38147,0.02,0.14
0,0,0,0,1,443593,0.233,1.632
0,1,1,1,0,5847,0.003,0.022
1,1,1,1,0,5248,0.003,0.019
0,1,1,0,0,3,0.0,0.0
1,0,0,0,1,66408,0.035,0.244
0,0,0,1,0,14,0.0,0.0
1,0,0,0,0,638533,0.335,2.35
0,1,0,0,0,1415482,0.743,5.209
