item,count,itemLabel
Q15978631,148455,Homo sapiens
Q83310,111473,house mouse
Q184224,111397,brown rat
Q25400,67794,Asteraceae
Q729,43360,animal
Q25308,22905,Orchidaceae
Q756,11244,plant
Q14560,7840,Cactaceae
Q173756,7018,Apocynaceae
Q526228,4373,Acantharchus pomotis
Q36341,1878,Brown Bear
Q80174,1696,Pan
Q19537,1684,bonobo
Q69581,1664,Siberian tiger
Q171497,1637,sunflower
Q504549,1617,Spur-thighed tortoise
Q8202634,1438,Apis mellifera sahariensis
Q41960,1317,Ailurus fulgens
Q2346039,1285,Thunnus
Q719725,1244,Saccharomyces cerevisiae
Q780,1180,chicken
Q156251,1113,Capparis spinosa
Q202864,1029,Zika virus
Q26949,1022,Helianthus
Q11575,980,Zea mays
Q4126704,920,common chimpanzee
Q133205,913,Trigonella foenum-graecum
Q104212,886,Humulus lupulus
Q278567,869,SARSr-CoV
Q11788,869,Ursidae
Q23400,863,Allium sativum
Q146281,851,Pyrus communis
Q171283,848,Homo
Q199788,848,Atlantic cod
Q25237,844,pea
Q107411,841,oyster
Q808,841,virus
Q43084,837,Piper nigrum
Q26736,835,Syzygium aromaticum
Q45669,834,Eucalyptus
Q35625,832,Zingiber officinale
Q122679,824,Rosmarinus officinalis
Q83193,824,lettuce
Q46871,819,Juglans regia
Q59576,812,Siluriformes
Q30263,810,Pinnipedia
Q40802,800,Brachyura
Q752274,792,bumble bee
Q25432,792,Common Pheasant
Q132922,790,Bactrian camel
Q135022,790,Camelidae
Q19707,787,Equus africanus asinus
Q81110,783,Common carp
Q25756,783,Tawny Owl
Q131226,782,Lens culinaris
Q25363,781,Crocodilia
Q156938,780,Tectona grandis
Q2396858,775,Atlantic herring
Q58677,773,Brassica
Q1497962,762,Ixodes scapularis
Q28367,762,Asparagus officinalis
Q498940,758,Vigna unguiculata
Q1366532,757,Crotalus cerastes
Q7223832,757,Fagopyrum
Q23193,756,Macropodidae
Q26574,756,Montagu’s Harrier
Q147184,755,Laburnum
Q209645,752,Macropus eugenii
Q159138,751,Melilotus indicus
Q910358,750,Spartium junceum
Q855896,750,Schinus molle
Q833994,748,Boldo
Q165403,746,Elaeis guineensis
Q30153,746,Atlantic mackerel
Q630002,745,Dicksonia antarctica
Q2266358,745,Quercus gambelii
Q2372824,745,Elephantidae
Q3074730,744,Pinus yunnanensis
Q1640189,743,American green tree frog
Q464424,743,Python regius
Q129773,743,Mountain cottontail
Q29498,742,Euphausiacea
Q1262028,742,Philippine Hawk-Eagle
Q739887,741,Goliath frog
Q187036,740,European pond turtle
Q1574997,740,Handfish
Q23121,739,banded mongoose
Q11827352,739,Homarus
Q3645260,738,Phacochoerus
Q242464,738,false gharial
Q322159,737,Wood Duck
Q335992,737,Grey Crowned Crane
Q157528,736,Pyrola
Q137528,735,cotton-top tamarin
Q15099738,734,Rhynchocephalia
Q161290,734,Galeopsis bifida
Q913892,733,Brush Bronzewing
Q916760,733,Palinuridae
Q148833,732,European wildcat
Q2880614,732,Pandion cristatus
Q966961,732,Strepera graculina
Q313394,732,Silvereye
Q171360,732,Eurasian Spoonbill
Q18857,731,Greater Sand Plover
Q510022,731,Western grey kangaroo
Q320665,731,thorny devil
Q3719457,731,Sphaerotheriidae
Q1954820,730,Archispirostreptus gigas
Q368742,730,Colias phicomone
Q605827,730,Swamp Harrier
Q742866,729,Andromeda polifolia
Q559137,729,Commiphora africana
Q852874,729,White-bellied Heron
Q2193519,729,Hainan Peacock Pheasant
Q12185265,729,Cyperus conglomeratus
Q687102,729,Amami rabbit
Q3311674,729,Beaumontia
Q15296321,729,Patersonia fragilis
Q477691,729,Madagascar Ibis
Q371667,728,greater bilby
Q584597,728,Pharaoh Eagle-Owl
Q640825,728,Ixodes persulcatus
Q15579097,728,Patersonia sericea
Q481710,728,Amur sturgeon
Q2643074,728,Dictamnus
Q2716902,728,Tipuana tipu
Q774382,727,Blue-faced Honeyeater
Q379218,727,Madagascar Partridge
Q571035,727,Beautiful Nuthatch
Q132640,727,Phyllostachys
Q94124,727,Latrodectus variolus
Q916818,727,White-necked Heron
Q1073729,726,Gromphadorhina portentosa
Q2222461,726,Rothschild giraffe
Q272933,726,Vulpes chama
Q2226126,726,Natal ghost frog
Q212239,726,Anguillidae
