uri,count,itemLabel
Q16521,23230733,taxon
Q767728,50370,variety
Q279749,7100,form
https://ja.wikipedia.org/wiki/%E3%82%AD%E3%83%BC%E3%82%A6%E3%82%A3_(%E9%B3%A5),4827,
https://en.wikipedia.org/wiki/Tokay_gecko,2602,
https://ja.wikipedia.org/wiki/%E3%82%AC%E3%83%A9%E3%83%91%E3%82%B4%E3%82%B9%E3%83%AA%E3%82%AF%E3%82%A4%E3%82%B0%E3%82%A2%E3%83%8A,2309,
https://ja.wikipedia.org/wiki/%E3%82%BB%E3%83%9F,2186,
https://ja.wikipedia.org/wiki/%E3%83%89%E3%83%BC%E3%83%89%E3%83%BC,1932,
https://ja.wikipedia.org/wiki/%E3%83%80%E3%82%A4%E3%82%AA%E3%82%A6%E3%83%9B%E3%82%A6%E3%82%BA%E3%82%AD%E3%82%A4%E3%82%AB,1864,
https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%AA%E3%83%AA%E3%82%A4%E3%82%AB,1843,
https://ja.wikipedia.org/wiki/%E3%82%B3%E3%82%A6%E3%82%A4%E3%82%AB%E7%9B%AE,1835,
https://en.wikipedia.org/wiki/Bobtail_squid,1834,
https://ja.wikipedia.org/wiki/%E7%B7%A9%E6%AD%A9%E5%8B%95%E7%89%A9,1821,
https://ja.wikipedia.org/wiki/%E3%83%88%E3%82%B0%E3%83%AD%E3%82%B3%E3%82%A6%E3%82%A4%E3%82%AB,1819,
https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E3%82%AA%E3%82%AA%E3%82%A2%E3%82%AB%E3%82%A4%E3%82%AB,1814,
https://ja.wikipedia.org/wiki/%E3%82%B1%E3%83%B3%E3%82%B5%E3%82%AD%E3%82%A4%E3%82%AB,1812,
https://ja.wikipedia.org/wiki/%E3%83%8F%E3%83%A2,1547,
https://en.wikipedia.org/wiki/Coronavirus,1421,
https://ja.wikipedia.org/wiki/%E3%83%80%E3%83%B3%E3%82%B4%E3%83%A0%E3%82%B7,1402,
https://ja.wikipedia.org/wiki/%E3%83%96%E3%82%BF,1333,
https://ja.wikipedia.org/wiki/%E3%82%B7%E3%83%9E%E3%83%AA%E3%82%B9,1292,
https://ja.wikipedia.org/wiki/%E3%82%AA%E3%83%A9%E3%83%B3%E3%83%80%E3%82%AC%E3%83%A9%E3%82%B7,1269,
https://ja.wikipedia.org/wiki/%E3%83%95%E3%83%8A%E3%83%A0%E3%82%B7,1254,
https://ja.wikipedia.org/wiki/%E3%83%AF%E3%83%A9%E3%82%B8%E3%83%A0%E3%82%B7,1250,
https://en.wikipedia.org/wiki/Fusarium,1204,
https://en.wikipedia.org/wiki/Tardigrade,1202,
https://ja.wikipedia.org/wiki/%E3%83%9C%E3%83%BC%E3%83%AB%E3%83%8B%E3%82%B7%E3%82%AD%E3%83%98%E3%83%93,1199,
https://en.wikipedia.org/wiki/Ball_python,1125,
https://en.wikipedia.org/wiki/Burrowing_owl,1105,
https://ja.wikipedia.org/wiki/%E3%82%A8%E3%83%88%E3%83%94%E3%83%AA%E3%82%AB,1079,
https://ja.wikipedia.org/wiki/%E3%83%AC%E3%82%A4%E3%82%B7,999,
https://en.wikipedia.org/wiki/Snowy_owl,995,
https://en.wikipedia.org/wiki/Lemon,987,
https://es.wikipedia.org/wiki/Eudocimus_ruber,977,
Q211005,976,Least Concern
https://ja.wikipedia.org/wiki/%E3%82%AA%E3%82%AA%E3%82%B5%E3%83%B3%E3%82%B7%E3%83%A7%E3%82%A6%E3%82%A6%E3%82%AA,964,
